thumb,index,middle,ring,pinky,palm_normal_angle,class
3314.59779,6971.22049,668.74776,1031.04072,1656.15975,145.7068,okay
3240.84222,6960.33034,738.06111,894.95552,1553.7233,146.49066,okay
3280.98001,6985.58919,760.60473,815.76373,1424.66312,146.93046,okay
3192.7139,6976.13935,793.89824,787.64041,1393.62607,146.36896,okay
3012.43416,6985.61986,782.46542,777.14153,1395.41467,146.92748,okay
3073.90425,6968.36529,778.43905,813.11133,1431.18309,146.61482,okay
3243.25392,6977.78773,838.54429,734.59053,1264.19952,146.71791,okay
3071.99026,6954.42061,805.06766,751.88059,1255.21889,146.38034,okay
3238.71527,6948.11823,778.25522,767.89209,1250.79904,145.82524,okay
3310.63304,6952.22599,778.59608,764.12415,1240.89325,145.86219,okay
1701.215,7621.31257,717.66384,2000.92149,2092.74982,142.64481,okay
1661.35886,7643.00021,785.1897,2022.75873,2120.20196,142.95306,okay
1643.97804,7678.80519,625.56309,1916.72678,2073.8618,142.95873,okay
1545.77635,7655.94852,703.08598,1851.05164,2062.1299,142.87321,okay
1395.2145,7651.48436,647.61249,1711.83668,1482.329,142.52401,okay
1459.81964,7407.04674,504.55793,1503.75617,1780.45581,142.7138,okay
1393.68959,7321.68211,434.40612,1397.94133,1815.59354,142.58721,okay
1421.57718,7262.45888,338.48558,1305.64309,1797.75733,142.3605,okay
1432.5072,7204.65114,274.01461,1240.58753,1822.16633,142.31567,okay
1419.19397,7209.31364,285.75745,1187.55331,1788.14558,142.35126,okay
1899.40872,7002.59734,556.07094,859.57368,1615.50667,128.67638,okay
1876.57359,7052.91083,550.6836,867.77082,1629.04161,128.68201,okay
1822.12682,7079.66125,610.95215,921.3081,1648.63923,129.07246,okay
1774.40355,7090.23361,599.64715,859.13224,1626.85045,129.36228,okay
1699.24526,7066.82369,589.49347,863.48591,1618.44017,129.12914,okay
1729.84427,7047.80134,604.89381,920.44246,1650.82522,129.17729,okay
1727.81701,7032.05169,612.93787,946.4925,1664.14087,129.25768,okay
1716.91517,7022.31487,594.34713,884.32988,1654.78976,129.6426,okay
1638.54858,7053.61176,578.47254,841.67642,1613.27424,129.66517,okay
1616.61682,7106.96712,530.69789,765.513,1603.47995,130.03014,okay
2149.02713,7242.0126,264.43257,347.18542,1407.59018,110.37783,okay
2187.69838,7220.52853,258.35391,277.91762,1391.09653,110.55042,okay
1938.65031,7260.49074,340.95186,293.40754,1447.92145,110.31364,okay
1967.67032,6845.38514,328.28704,341.70296,1475.8263,110.43708,okay
2089.47326,6915.45188,304.67951,316.5562,1463.19193,110.65686,okay
2173.30352,7007.75701,265.44385,274.50186,1410.18178,110.80885,okay
2113.40456,6956.57703,217.35878,205.12604,1427.064,110.5674,okay
2208.89447,7007.77285,153.3423,236.62326,1565.03136,110.97734,okay
2006.16574,6890.67291,190.40039,344.70856,1539.11099,110.54473,okay
1977.65381,6831.30412,256.59553,331.7675,1634.49174,110.57847,okay
1800.22279,7558.77621,791.43901,881.04322,1733.95341,119.78263,okay
1799.60831,7611.08075,807.57791,729.19542,1701.94308,120.20849,okay
1796.11334,7573.42191,821.71415,744.48995,1731.19816,120.17232,okay
1806.96949,7514.12179,790.07536,711.71532,1716.49511,120.60065,okay
1805.00143,7514.1412,790.29889,644.88926,1742.24088,121.51758,okay
1804.79196,7487.82771,794.78655,562.07687,1784.8178,121.82585,okay
1725.75772,7505.83148,808.98177,462.9595,1791.61331,122.60827,okay
1667.20583,7467.9764,812.14634,430.42869,1767.84432,122.60739,okay
1678.02481,7492.79437,829.12612,482.53925,1818.35633,122.22539,okay
1728.94396,7457.01194,821.23174,487.8541,1862.22006,122.29574,okay
2276.54244,6208.85201,898.04808,1045.55559,1620.45295,120.26695,okay
2299.10858,6105.93143,900.84692,1045.25915,1629.20506,120.34918,okay
2279.52314,6147.44306,900.37623,1053.05746,1613.08247,120.30083,okay
2271.82386,6332.77103,911.73114,1067.33858,1609.00137,120.19084,okay
2242.19315,7218.95028,946.252,1048.40092,1502.71207,119.73961,okay
2200.42052,7556.28996,962.37564,1017.88327,1445.33967,119.51536,okay
2203.92099,7552.25924,970.84606,1029.93206,1442.41143,119.27566,okay
2180.34664,7268.75541,970.38015,1035.51995,1430.84885,118.93441,okay
2176.38401,7083.68156,986.15393,1033.55504,1404.11818,118.91674,okay
2160.79137,7026.95952,1009.36314,1030.05788,1374.87093,118.91221,okay
2048.84606,7179.96422,360.4681,856.86422,1037.20941,142.97755,okay
2133.59549,7179.0003,410.19122,881.11949,1082.41687,142.92056,okay
2055.00064,7161.07096,460.31199,867.52795,1111.63268,143.18922,okay
2137.95918,7166.06878,443.54829,829.08375,1070.40298,142.96796,okay
2116.49776,7167.41927,408.52032,856.04849,1090.06296,143.28772,okay
2035.16905,7169.2212,431.31696,848.38834,1038.74752,143.65863,okay
2010.101,7170.22543,453.88656,902.17421,1085.87909,143.93998,okay
1965.30941,7168.56932,488.51462,901.77961,1127.35376,144.27974,okay
2012.19492,7170.0744,563.66305,879.0286,1103.34524,144.43875,okay
1979.14737,7161.06274,611.3812,918.9805,1156.22775,144.54684,okay
3683.31227,6946.27591,1178.56101,323.03279,1934.32086,127.48256,okay
3690.53861,6932.81581,1221.75927,306.38169,1921.26528,127.6364,okay
3676.42416,6935.03833,1251.99843,321.70035,1927.7193,127.5953,okay
3219.7396,6832.72948,2104.22708,798.9924,1884.56923,129.42318,okay
3208.52681,6839.13856,2170.12872,748.00777,1961.97912,129.6817,okay
3184.48484,6838.27758,1542.93592,675.25828,1934.29245,129.45107,okay
3283.16051,6844.65458,1623.33487,646.29953,1930.85249,129.64674,okay
3290.0712,6851.84825,1799.89901,422.11307,1846.8707,129.81206,okay
