thumb,index,middle,ring,pinky,palm_normal_angle,class
77.6968783752,166.440631506,173.042856283,171.935450392,165.759593344,168.23611,zero
77.3643028041,166.335296329,172.531316095,171.185386338,164.812942786,168.58927,zero
78.0583797974,165.299703047,171.371235785,170.080371013,164.18304908,169.86622,zero
78.5561571539,165.751806929,171.530379193,170.27126114,164.540377257,169.6412,zero
78.3298183452,166.794367003,171.303780837,169.645383586,163.439569328,168.05503,zero
79.7212439923,167.340850439,172.053667306,170.165352227,163.624243983,166.39763,zero
80.0760381688,165.93889947,171.3674382,170.835899218,165.778431006,169.76396,zero
75.9937911962,165.65689462,170.250101214,170.406130055,165.970140756,169.60734,zero
77.5861951597,165.749621268,170.531423046,170.698270907,167.079909892,170.77074,zero
75.3172609589,165.570629331,170.874694693,171.456681452,168.208994803,170.07003,zero
55.6533273385,164.8849603,172.409684086,172.671690143,169.079283847,163.39898,zero
56.738586341,164.787753048,172.211390034,172.460500694,168.842126019,163.44701,zero
56.2640213823,164.39317302,172.174739239,172.452768919,168.851264812,163.78738,zero
56.3855645986,163.50425122,171.803532118,172.16900188,168.615896493,163.7284,zero
57.0537346844,162.790264225,171.222078114,171.756253549,168.337593605,163.3257,zero
57.6001259123,163.005141977,170.771504195,171.277648533,167.915815763,163.41681,zero
57.533825266,163.383725702,171.233744077,171.708032413,168.305969829,163.6114,zero
57.9630753346,163.70391131,171.722129924,172.274036529,169.00105086,163.23863,zero
59.1974271214,164.220642441,171.662748259,172.214600223,168.976229953,163.2414,zero
60.1033560922,164.322384939,171.607587651,172.077436364,168.737200653,163.37612,zero
49.5299500494,151.078648138,157.645943327,155.271496364,149.884375902,71.33829,zero
48.9276195722,152.639633232,156.939250975,154.157997945,148.57690011,71.12951,zero
47.1671383136,153.879216943,158.020060109,155.894040786,150.753244266,71.90936,zero
47.4079161422,157.480762032,161.40612639,159.682910643,155.260950552,72.50326,zero
47.1001956296,157.864441079,160.742710116,158.830981148,153.698012025,72.04567,zero
46.3907507107,155.399097958,159.591331467,157.418361424,152.25829011,71.59097,zero
49.938873475,151.598152327,157.024491735,154.468908156,149.404432169,71.12476,zero
49.6218878107,149.494426742,155.254052061,152.889276646,147.839062094,70.64371,zero
49.4473935529,150.612405765,156.097539442,153.659708324,148.539689239,70.68687,zero
50.195876418,147.692609178,153.994059744,151.562840249,146.728664581,70.79306,zero
54.1413215317,157.022934452,167.638264196,167.569689097,164.900697056,89.11188,zero
54.6977907038,156.571663854,167.727657712,167.564785021,164.930531322,89.12277,zero
55.914394244,154.342535996,167.436650672,167.303994738,164.61449847,88.5153,zero
58.1906572378,155.730211869,167.322217683,166.678404052,163.806883242,87.54527,zero
59.1829881015,155.379754863,167.814346473,167.097845969,164.221475724,87.49824,zero
58.1993793893,154.616932015,168.496327201,167.892839007,165.018094348,87.09672,zero
57.9145195198,155.426883168,169.695804042,169.074912526,166.053551026,86.986,zero
57.0816018562,155.026019365,169.384948473,168.716710085,165.633508052,87.45695,zero
58.6250777595,155.784170363,169.517822973,168.744918766,165.617662013,87.23956,zero
55.7507907228,154.579324994,169.157612456,168.671466912,165.581229784,88.02348,zero
64.4922922189,165.649777563,166.2772124,166.963660072,161.008308852,157.11348,zero
63.8277557937,165.066247181,165.914570337,166.727130621,160.836898424,157.65593,zero
62.7138817137,163.996598576,164.88567064,165.719035681,159.738248836,157.44202,zero
63.0490459265,164.861560072,165.742927683,166.398379956,160.220350908,157.35252,zero
63.8117868115,165.510127515,166.255724625,167.049734116,160.888520994,157.29749,zero
63.7181790689,166.558397628,167.154878048,167.622786988,161.085612933,157.06387,zero
63.5923123429,166.131005371,166.935301127,167.64741665,161.165211958,157.27758,zero
63.0306180761,165.400981092,166.125431937,167.065552834,160.783363402,157.62924,zero
64.8694689252,166.452625319,166.981527847,167.594660269,161.133000785,157.01579,zero
63.0992000055,164.698059004,165.510428043,166.303331044,160.014407045,157.30748,zero
59.085302736,164.203088855,169.183198345,168.93822678,167.421583275,155.68396,zero
56.5827419147,163.944183704,170.132130187,169.916419152,168.26124575,155.17244,zero
58.2307641086,164.013086653,170.44888704,170.370421826,168.761147296,154.583,zero
59.0112088439,164.609676356,170.918189338,170.960987303,169.219220763,154.73079,zero
53.1286879306,164.011747936,172.152322558,171.851862537,169.789773785,152.98652,zero
55.1831405311,163.147729006,171.300556988,171.474877076,169.758341254,154.05466,zero
55.2345377046,162.587776437,171.266160155,171.543971269,169.990048592,153.70089,zero
54.1569216838,161.719755016,171.076035009,171.445029149,169.897376585,153.03969,zero
53.4887208622,161.538727682,171.0778655,171.467254585,169.987630705,152.2553,zero
52.0056887179,160.634834108,171.080720519,171.534846137,170.093225429,152.32085,zero
75.8474134121,156.76288183,164.62967515,165.681852131,162.051524625,165.35555,zero
68.4081557832,152.200820898,162.319431965,163.467245255,162.164332029,162.36145,zero
69.2324639934,152.689561915,161.869445442,162.900503478,161.413065862,162.67359,zero
68.4245687278,152.99159288,161.946872467,163.096885077,161.828450647,163.19641,zero
69.2648117693,152.852530228,162.248357016,163.034470809,161.286529778,163.06339,zero
68.1754034269,152.289804603,162.021471793,162.717987163,161.204157696,162.93538,zero
74.3954176474,154.144337566,161.680577051,162.974761295,160.864137219,164.12509,zero
70.4640768744,153.49527835,161.555475306,162.798583396,161.118438822,163.56445,zero
71.4656626444,153.569836695,161.224757547,162.617228213,160.890638353,163.67182,zero
72.1403350703,153.923667815,162.009327716,163.509947598,161.704988147,163.53139,zero
62.150097409,168.487079125,173.032378772,172.035703908,168.46885618,158.92753,zero
62.4338234672,166.532634154,171.086130029,170.308704237,167.060197966,158.48354,zero
61.7654689663,166.531541324,170.831869407,169.997179309,166.813969646,158.59727,zero
60.2896699924,163.764126257,169.444808251,168.851674623,165.623822844,158.43756,zero
59.9421499674,164.287441691,169.626955735,168.737214313,165.3239912,158.29163,zero
59.6997260632,163.967529291,169.64844351,168.739318011,165.304060708,158.46462,zero
60.51452665,165.064566955,170.27813231,169.299024693,165.920744828,158.87747,zero
61.7229715293,165.361584561,170.323416465,169.261417671,165.95694483,159.05762,zero
62.4786363383,165.573675595,170.365299185,169.204508535,165.786558931,158.99272,zero
60.9902151748,165.430036717,170.581952785,169.492769839,166.011504381,158.97261,zero
56.1511149403,160.525100289,163.324931433,163.929403175,161.062731799,105.23094,zero
56.7752234757,160.756384155,163.780682636,164.368488716,161.092388481,104.78249,zero
58.2417129018,162.690283916,164.973602495,165.310071274,160.983023492,104.09913,zero
55.8315235588,161.237775887,164.152217606,164.6661347,161.136798371,105.32954,zero
54.6323779821,161.038894439,164.126098963,164.780376444,161.347946839,105.39602,zero
54.5940947718,161.886425292,164.503139065,164.99652461,161.092074292,105.25826,zero
54.7515101416,162.081072023,164.731212742,165.140873828,160.99307753,105.45733,zero
54.9975711215,162.363514006,165.524621176,166.144187636,162.006158509,105.50069,zero
58.5817470394,163.628191833,165.404628413,165.335151729,160.76742174,108.60182,zero
60.2448912722,163.483637709,164.998191176,164.919480076,160.377704807,110.27221,zero
51.6903252235,166.135185447,174.063395828,171.866916274,171.266528985,115.24442,zero
54.0135594282,166.382069464,174.300949807,172.095003611,171.956746922,116.66085,zero
53.3482033804,165.973364605,173.961093254,171.683389091,171.409020392,116.70724,zero
53.2747890921,165.760303684,173.55908198,171.80686525,171.899332351,116.71735,zero
51.4680537925,165.323677011,173.462352841,169.915230699,169.068751695,115.25126,zero
51.2865415153,165.647578242,173.037282848,170.242178195,169.812190466,116.9002,zero
51.6106476518,165.485825702,173.261395015,170.206060154,169.535554144,116.10002,zero
51.6572124664,164.932880907,172.578703947,169.736716875,169.298109448,117.10798,zero
51.5530281759,164.9333317,172.507601678,170.021235235,170.036521199,118.52885,zero
51.5530862325,165.113525751,172.720047882,170.177127473,170.055440823,118.22612,zero
76.4214088496,165.254774063,168.302513753,166.88343267,163.088757152,173.72103,zero
79.0273719047,163.905442871,167.690310238,166.87546867,163.570790923,173.19522,zero
79.7981450922,164.274081841,167.989650108,167.392213462,164.050297523,172.47207,zero
77.748862945,164.227909762,167.667415444,166.303467647,162.481239146,173.13788,zero
80.0466000535,165.185925756,167.794839453,165.739034475,161.33898563,173.2799,zero
78.5508432667,165.018217291,167.666063066,165.653452205,161.456478544,173.66367,zero
77.8940932573,164.81130354,167.701019974,165.793894554,161.74661132,173.54569,zero
79.4416706892,165.787583459,168.279700922,166.109094124,161.408585258,172.94181,zero
79.6816084046,166.11473586,168.847371604,167.352543723,162.685543765,170.95428,zero
79.6623677617,166.071883253,168.889732437,167.399398821,162.853853286,171.09892,zero
66.2753131017,166.031011401,168.644419363,167.006348755,162.938411028,167.467,zero
66.2148864181,165.757038853,168.166948159,166.64224503,162.215080335,167.35237,zero
68.0745215328,165.655583224,168.078838718,166.423842901,161.696477732,167.88042,zero
67.6545468612,165.513774836,167.887798327,166.341621084,161.908964917,168.00305,zero
66.3226736334,165.588906917,167.652457329,165.982489738,161.412382843,167.39527,zero
66.4202155649,165.387143129,167.916225575,166.227352019,161.791704229,166.99593,zero
66.5858339919,165.709828586,167.578336116,165.845216596,161.625361802,167.03463,zero
66.8233948014,165.24711059,167.326233834,165.725346776,161.607166178,166.79612,zero
67.2678215504,165.515414081,167.444109239,165.640515826,161.268334154,166.96859,zero
67.3465941221,165.291438518,167.300169832,165.457043285,160.820656235,167.21283,zero
66.1528751306,172.596148251,169.717592346,171.082865198,165.248271723,159.81412,zero
64.8033048827,172.744773167,169.600126752,171.717977169,166.100173897,160.7311,zero
65.8970913764,172.428139257,169.910941341,171.698825318,165.464351587,160.46739,zero
