thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
16.87609,68.67885,36.45581,41.30568,170.22509,okay
16.83762,68.92274,36.53179,41.4215,170.57228,okay
16.59683,69.15594,36.62366,41.42545,170.91849,okay
16.62068,68.63165,36.55426,41.41624,171.05811,okay
17.36627,66.59805,36.17712,41.22445,170.38162,okay
16.87546,67.85725,36.231,41.13886,170.64903,okay
16.87959,67.71504,36.22216,41.20228,170.70711,okay
16.93065,67.18482,36.16446,41.20058,170.41386,okay
16.66418,68.19823,36.10643,41.04135,170.75157,okay
16.73929,67.93047,36.08511,41.07701,170.74462,okay
18.24089,59.02328,36.65469,41.36246,171.34431,okay
17.72334,60.62345,36.63507,41.26444,171.38358,okay
16.99096,63.12167,36.41615,41.27028,172.02792,okay
16.143,65.85701,35.87079,40.88673,172.00382,okay
16.10229,67.26156,35.58488,40.75924,171.19219,okay
16.08401,66.97853,35.72984,40.92363,170.89886,okay
17.12709,63.20492,35.07646,40.60411,170.12751,okay
20.87898,54.34223,35.66633,41.02434,170.82572,okay
21.93574,56.00731,36.75135,41.50428,172.97007,okay
19.26264,58.4155,35.50953,40.81562,170.80701,okay
37.06444,58.67467,32.91946,40.01985,73.84542,okay
40.8277,55.34425,32.64755,39.85491,74.15061,okay
38.4543,57.02193,32.55324,39.70783,74.34522,okay
37.37326,58.09976,32.59665,39.97844,74.40293,okay
36.83842,58.59229,32.55672,40.07056,73.93777,okay
37.55414,57.91917,32.4368,39.84308,74.00349,okay
37.42597,57.87823,32.31104,39.65923,73.74222,okay
35.37779,59.41288,32.53268,39.84755,73.59112,okay
33.53277,60.73538,32.75863,40.02614,73.18087,okay
34.01768,60.35248,32.71255,39.97181,73.24386,okay
22.97398,80.95296,33.29292,39.84429,78.67176,okay
20.75732,79.46998,33.42867,39.5784,78.50453,okay
20.40865,79.26756,33.24729,39.32961,79.06589,okay
18.24409,81.38709,33.72853,39.16546,79.69611,okay
18.0517,80.23597,33.9441,39.14639,79.24502,okay
17.70359,81.23651,33.97873,39.04089,78.74887,okay
17.95023,81.67651,34.07879,39.10736,78.62324,okay
17.85876,82.18835,34.1104,39.06924,78.8441,okay
17.35154,79.76371,33.34877,38.45563,80.06446,okay
16.34211,83.57259,33.94629,39.13358,78.34373,okay
23.33428,85.66978,34.09291,40.76403,122.79667,okay
23.43924,85.99478,34.32901,40.80469,122.90307,okay
23.94413,86.26501,34.35475,40.85489,122.9589,okay
24.27559,86.35912,34.44163,40.80317,123.56059,okay
24.46024,85.97231,34.54431,40.97387,123.46632,okay
25.12374,86.09587,34.47007,40.7834,123.87544,okay
25.21405,86.4279,34.44094,40.93473,123.62677,okay
25.69338,86.58445,34.46015,41.03625,123.65002,okay
25.7036,86.40596,34.26572,41.04893,123.35119,okay
