thumb,index,middle,ring,pinky,palm_normal_angle,class
49.4741269133,155.63564107,160.297122235,164.457130911,166.009100155,167.00822,fist
49.1795271941,156.006889172,161.067909083,165.161132169,166.71732247,167.40074,fist
48.2763132235,155.792216326,161.672776975,165.157225301,166.305489383,168.49944,fist
49.0640969971,156.100626688,161.865866423,165.358907127,166.462214904,168.49323,fist
49.0483021846,155.928943053,161.118998898,165.165585452,166.614814991,167.91225,fist
48.5776133584,155.647621221,160.791354723,164.763656141,166.197545074,168.49134,fist
48.8536554537,155.61975405,160.570165877,164.511553858,165.819699009,168.70952,fist
48.5327799966,155.347557351,160.058448104,164.124377755,165.28571482,168.75022,fist
48.5638368668,155.801245836,160.598866332,164.436380796,165.477165022,168.80636,fist
48.932813931,155.510061212,159.583627014,163.749673577,165.003942196,168.89025,fist
57.6213951214,166.490751435,172.362801668,168.230236692,160.598852672,172.43247,fist
57.7242441099,168.871973945,174.03674443,169.401231644,161.344313178,172.92831,fist
57.9141233688,169.883729867,173.9461488,168.72448284,160.08246305,171.60263,fist
58.11744444,171.716173999,174.460489366,168.538127959,159.067592562,170.09424,fist
58.8249564154,171.313588989,174.893578001,169.289940541,160.458615227,172.36756,fist
58.1867503696,171.599569009,175.258023234,169.952291306,161.69787109,173.26577,fist
58.9747766149,169.587654827,171.534313382,166.647517936,158.440553875,171.72783,fist
58.3154038128,170.836978388,173.633572023,168.422001083,160.244352193,172.29637,fist
58.5242641674,170.41929866,172.67158086,166.686409033,158.108374455,173.42625,fist
58.2811913952,170.568019199,172.988201109,166.785556059,158.620570341,171.98179,fist
51.995798604,153.829342902,153.08874549,160.307995896,160.280251668,170.16501,fist
51.0268747985,152.56228817,151.507624999,159.32606058,158.934595118,170.84161,fist
50.8003584049,152.15718965,151.64555384,159.360129564,158.971969913,170.7435,fist
51.3996665234,153.329837508,152.78726094,160.151652866,160.084908257,169.98773,fist
51.2919681006,153.326900526,152.579896397,160.204340945,160.276344799,169.95875,fist
49.8667261868,152.067905417,151.942667068,159.826754427,159.562794937,170.50663,fist
49.8710189607,152.022006546,151.906508047,159.869429449,159.594145505,170.60143,fist
51.6170338786,152.764530071,155.605629218,161.766487171,160.932807941,172.90203,fist
51.6126113311,153.638889907,156.232176131,162.354334232,161.463158469,173.22526,fist
51.0017704382,152.564733377,153.449229214,160.530796667,160.197360492,171.73732,fist
60.3673838847,159.083138072,165.038953745,167.11666997,165.141775413,170.69038,fist
61.7663773815,161.108698972,165.992407172,167.488969921,165.390817771,170.42999,fist
61.0636738593,161.161154825,165.765863458,167.453575881,164.977632307,170.48961,fist
61.4348195086,160.655966713,165.54389597,167.401488858,165.02105865,170.53732,fist
61.2514562501,160.610791842,165.55796616,167.514378225,165.125656167,170.2657,fist
61.0694453691,160.100617692,165.330794068,167.344989534,164.948194192,170.24309,fist
61.1080291078,159.553833729,165.251317987,167.373143573,165.047313897,170.24068,fist
61.6304771076,159.809706275,165.424996037,167.272548547,164.946117814,169.96235,fist
62.0530335908,159.765173442,165.21677089,166.973878035,164.613651526,170.52149,fist
61.8184029324,159.87776228,165.429176113,167.161544313,164.816439843,170.15979,fist
44.1068242447,153.067462621,178.827466434,176.699862508,177.659490426,65.0764,fist
44.4929143479,152.534093149,179.221158538,176.79600425,177.750837376,65.18564,fist
44.9491129278,152.939328272,178.40307946,175.994249325,178.36948859,65.31628,fist
45.3144153503,153.194490479,179.159536571,176.941364336,177.725224166,65.63491,fist
45.2473360625,153.73321482,179.330318621,177.002194001,177.591079251,65.82283,fist
45.1451359419,154.302552068,179.358363378,176.880398068,177.753706055,66.41741,fist
44.7534689892,154.084764656,179.259544201,176.896626597,177.681333371,66.67974,fist
45.0532528221,153.203356065,176.860003123,175.101106468,178.458827464,66.17643,fist
45.9299793191,155.149331601,178.660604913,176.272483911,177.948625994,65.78193,fist
44.9291960962,155.410599997,179.801191863,177.690813673,177.168345183,66.83062,fist
40.0046501952,147.569898,175.042394162,175.4900311,177.555999399,64.41189,fist
39.6227435828,147.373284174,174.534132465,175.085779524,177.003505397,64.31829,fist
39.7404209121,147.044738415,174.513846803,175.157332586,177.200610996,64.11736,fist
39.6951709088,146.583222532,173.990831898,174.808118674,176.960242979,64.21906,fist
38.8265245256,144.240112477,173.974480425,174.478029291,176.416300374,64.20137,fist
38.9504104968,145.200341452,173.858572115,174.357012,176.057565179,64.45691,fist
38.4106343071,145.614250916,175.948118227,175.820926445,175.978485248,64.48981,fist
35.1480715066,139.881222353,177.520769284,177.114591594,175.988675891,68.45138,fist
33.714349913,119.848837593,173.868831059,172.725785241,171.258073211,65.89177,fist
40.5712792736,140.574746101,168.967569273,166.530106985,166.242351115,64.87524,fist
43.2645219011,119.354386538,121.839523547,141.350232119,145.244245908,69.78214,fist
43.8347504893,119.767667624,120.629214026,143.026292239,146.730836581,70.26127,fist
43.8620473403,124.486317473,125.094914649,145.102150652,148.437823798,71.61925,fist
44.0872523376,126.97896769,134.041041782,144.297171878,147.644920797,71.68813,fist
43.7255699154,127.023678108,132.756925237,144.387084488,147.38649376,72.15828,fist
44.2927180882,126.968025727,129.422003413,144.438734378,147.159594876,72.48231,fist
44.5788620333,127.211781518,129.008558402,144.991296682,147.563559584,72.4402,fist
44.5839266186,125.072142798,127.125707474,145.659617032,148.295673901,72.65471,fist
44.8453213732,126.712098539,127.258868842,145.096563558,147.618214758,72.85684,fist
44.5364124076,126.740785333,131.475035334,146.486957846,148.827417788,73.35508,fist
59.7251685178,174.794704182,173.724331577,174.221542028,175.49184793,98.17056,fist
61.1708531877,171.685684034,170.715155134,171.02010942,171.939384581,100.43377,fist
62.787367719,173.462229898,170.842032728,171.214319019,171.626657539,102.15281,fist
64.6707309109,174.034449486,170.684364641,170.396308243,170.170065057,105.21606,fist
64.5313950518,174.348966037,171.333396537,171.183624149,170.953556057,103.94025,fist
63.2847967359,174.010475522,170.728842833,170.790191592,171.032676968,102.95708,fist
62.2030040544,174.440244685,172.186077353,172.344196232,173.002544506,100.42689,fist
61.1695554518,174.345250414,172.004927076,172.226976526,172.489078205,99.16743,fist
60.5806906925,173.513565599,171.550910741,172.00289168,172.332994722,99.71919,fist
61.4263705646,173.270083016,171.325227631,171.536307797,171.66890909,102.24257,fist
55.3941216595,167.882306855,168.463870142,165.046207406,164.05561141,95.96667,fist
54.5905601489,168.1113914,169.035502334,166.010876004,164.926965964,97.93619,fist
54.3578077925,167.743872581,169.195875176,166.310448101,165.346093692,98.36105,fist
53.9293568561,167.040868531,168.464594142,165.536341781,164.986142723,96.15221,fist
54.5848057145,167.802981038,168.522213618,165.231332853,164.21844312,95.07791,fist
53.8315485472,167.100987856,168.63961091,165.613236051,164.803954257,96.5321,fist
53.2688024313,166.996199093,168.966886254,166.120309295,165.378987883,97.88758,fist
53.5307265256,167.00510566,168.760655522,165.905991619,165.287914141,97.27719,fist
54.5664086,167.699831521,168.483008332,165.333594446,164.399757322,95.19752,fist
