thumb,index,middle,ring,pinky,palm_normal_angle,class
64.1756,45.17099,42.75992,39.76473,36.13306,167.00822,fist
64.50877,45.02558,42.40994,39.50482,36.03674,167.40074,fist
64.43694,44.97504,42.09024,39.34696,35.72782,168.49944,fist
63.97908,44.86657,42.04908,39.27692,35.66534,168.49323,fist
64.45534,45.07366,42.42563,39.49773,35.90945,167.91225,fist
64.43423,45.10806,42.55355,39.66697,36.08265,168.49134,fist
64.18303,45.12777,42.65422,39.72329,36.04086,168.70952,fist
64.12414,45.19215,42.8574,39.87333,36.13943,168.75022,fist
64.0306,45.02435,42.66525,39.75841,36.07574,168.80636,fist
63.92252,45.21165,43.13657,40.0971,36.26366,168.89025,fist
58.50506,41.06966,37.13026,36.0923,34.14635,172.43247,fist
58.31535,40.19922,36.52932,36.13759,34.78431,172.92831,fist
57.99413,40.01018,36.48943,36.063,34.55039,171.60263,fist
57.88658,39.74006,36.22206,35.86909,34.24461,170.09424,fist
57.85097,39.67405,36.06565,36.10754,34.64107,172.36756,fist
58.1918,39.69445,36.2948,36.64478,35.65296,173.26577,fist
58.18981,40.48423,37.214,36.36917,34.17861,171.72783,fist
58.24061,40.11144,36.74366,36.74464,35.28778,172.29637,fist
58.69186,40.35689,36.91177,36.79818,34.54182,173.42625,fist
58.57352,40.26402,36.89651,37.13677,35.00992,171.98179,fist
63.35537,45.16064,45.10006,39.72186,35.94811,170.16501,fist
63.44799,45.63256,45.80135,40.0251,35.98898,170.84161,fist
63.69092,45.78616,45.82964,40.06282,36.02783,170.7435,fist
63.46265,45.31457,45.33072,39.85943,36.00293,169.98773,fist
63.42735,45.17715,45.36118,39.85331,36.06179,169.95875,fist
64.11053,45.60158,45.71302,39.94506,36.09089,170.50663,fist
64.22353,45.61617,45.72384,39.9434,36.14495,170.60143,fist
64.07708,45.05976,44.1816,39.0933,35.43325,172.90203,fist
63.86185,44.50203,43.98395,38.91603,35.34411,173.22526,fist
64.18445,45.4007,44.98465,39.66463,36.10795,171.73732,fist
58.32919,43.25522,40.97871,38.20104,35.89647,170.69038,fist
58.78763,42.64493,40.4182,37.87263,35.56771,170.42999,fist
58.45236,42.52212,40.39478,37.83116,35.52782,170.48961,fist
58.25635,42.72556,40.49783,37.82756,35.506,170.53732,fist
58.37218,42.72371,40.4766,37.81425,35.53754,170.2657,fist
58.27205,42.87778,40.59527,37.91436,35.64084,170.24309,fist
58.27039,43.03268,40.63167,37.91354,35.67897,170.24068,fist
58.02047,42.94519,40.5592,37.91783,35.63565,169.96235,fist
57.88994,43.00093,40.64341,38.00893,35.61494,170.52149,fist
57.8941,42.96447,40.59054,37.97749,35.61395,170.15979,fist
69.15137,44.29057,32.75295,32.16217,35.90263,65.0764,fist
68.87343,44.55125,32.75364,32.16489,35.80494,65.18564,fist
68.8557,44.68263,32.90013,31.99801,35.82701,65.31628,fist
68.59603,44.48825,32.91383,32.25932,35.87239,65.63491,fist
68.54787,44.15514,32.911,32.33147,35.93929,65.82283,fist
68.94852,44.08239,33.02253,32.36616,35.99378,66.41741,fist
69.11411,44.21118,33.02363,32.41047,36.06649,66.67974,fist
68.77516,44.76292,33.30421,31.98844,35.88441,66.17643,fist
68.22749,43.78211,32.93496,32.14933,35.92274,65.78193,fist
68.77275,43.47559,33.04943,32.73321,35.87319,66.83062,fist
69.67862,48.33561,31.78461,32.56741,35.3459,64.41189,fist
69.63258,48.27044,31.72495,32.49621,35.22808,64.31829,fist
69.36276,48.39464,31.64777,32.48991,35.28667,64.11736,fist
68.978,48.46643,31.56153,32.41312,35.22317,64.21906,fist
69.68314,49.64446,31.30784,32.08539,35.06522,64.20137,fist
69.37613,49.18895,31.63405,32.14896,34.93214,64.45691,fist
70.62828,49.55556,32.36506,32.70218,35.24974,64.48981,fist
71.99905,52.51323,33.29673,33.46901,35.75886,68.45138,fist
72.56264,61.35635,35.99865,35.8672,37.31821,65.89177,fist
71.47329,52.07462,38.62576,38.64797,38.67282,64.87524,fist
64.98495,63.52126,64.04129,50.66321,44.90938,69.78214,fist
65.07192,62.88108,64.26614,49.74104,44.33362,70.26127,fist
64.85922,60.42693,61.86656,49.00239,43.75773,71.61925,fist
64.07174,59.14534,57.03592,49.55009,44.11354,71.68813,fist
64.56381,59.06277,57.24039,49.26015,44.15754,72.15828,fist
64.39083,59.2966,59.84549,49.25733,44.19797,72.48231,fist
64.4493,59.13063,60.63882,48.94193,44.02433,72.4402,fist
64.29713,60.15973,63.38491,48.76591,43.84077,72.65471,fist
64.37509,59.5438,62.74687,49.02489,44.04462,72.85684,fist
64.44803,59.31647,59.44309,48.42946,43.60033,73.35508,fist
61.69666,38.82281,37.81525,37.00851,35.23804,98.17056,fist
60.55509,40.35253,39.27026,38.2416,35.85773,100.43377,fist
59.7515,39.94247,39.32816,38.00614,35.29035,102.15281,fist
58.1324,39.97704,39.61415,38.46012,34.22395,105.21606,fist
58.24976,39.64106,39.06337,37.88022,34.00936,103.94025,fist
59.98621,39.39948,39.4308,38.19742,34.41202,102.95708,fist
61.18479,38.85361,38.27844,37.17199,34.70062,100.42689,fist
60.15495,39.11587,38.52956,37.55891,35.10914,99.16743,fist
60.12504,39.63679,38.9376,37.55265,35.01653,99.71919,fist
59.76008,40.03054,39.16893,37.90004,34.68954,102.24257,fist
58.09534,38.45025,37.72766,39.91932,40.22366,95.96667,fist
57.98758,38.60847,37.94065,39.88077,40.08722,97.93619,fist
57.72214,38.83848,38.00068,39.83591,40.00232,98.36105,fist
58.58632,38.60715,38.02368,39.96663,40.37886,96.15221,fist
58.92519,38.31257,37.76601,39.85968,40.60305,95.07791,fist
58.46552,38.7698,37.95198,39.88923,40.39388,96.5321,fist
58.36135,39.00666,37.98137,39.85086,40.15845,97.88758,fist
58.45984,38.83775,38.00162,39.88608,40.25787,97.27719,fist
58.79602,38.3436,37.78305,39.83164,40.53599,95.19752,fist
58.32917,38.85103,38.04281,39.86086,40.39864,96.95615,fist
63.26277,38.26716,39.29543,39.7804,39.15324,101.43871,fist
62.84192,38.69933,39.52059,40.51639,39.69075,96.77551,fist
64.9282,39.16724,40.22443,40.4935,39.09445,98.34132,fist
62.92411,37.78283,38.85697,39.26008,38.94967,101.04381,fist
63.78545,37.86918,39.04612,39.36137,39.14331,100.3261,fist
63.1552,38.21444,39.18641,39.68274,38.96552,97.8425,fist
64.00885,38.28227,38.69194,39.59175,39.68199,99.93259,fist
61.47683,38.25377,38.90604,39.35534,38.95282,99.28988,fist
62.97978,38.47807,39.24049,39.57655,39.23997,100.36508,fist
62.61866,38.57064,39.09129,39.65751,39.36194,99.5164,fist
52.92194,40.76982,36.2824,34.96517,32.40763,164.8169,fist
53.0189,41.67336,36.92475,35.5671,33.18634,168.66438,fist
53.36386,41.37677,36.69254,35.31344,32.80309,167.05778,fist
52.3182,41.52711,36.67266,35.46947,32.90431,167.39362,fist
53.50175,42.36133,37.45,35.18123,32.19394,168.30486,fist
52.38773,41.44249,36.25686,35.48003,33.44234,169.37431,fist
52.04684,41.65606,36.52266,35.31086,32.72255,168.97309,fist
52.44934,41.75916,36.6202,35.48268,32.93576,168.81446,fist
52.7397,41.7374,36.82517,35.39644,32.70831,168.51094,fist
52.5285,41.96728,36.8347,35.58065,33.01344,169.11399,fist
61.06525,39.16857,36.60519,35.59032,35.11436,172.25995,fist
62.73355,39.11235,36.58051,35.63138,34.97145,171.748,fist
61.58008,38.92337,36.19859,35.34664,35.02061,172.07716,fist
62.80186,39.28546,36.75309,35.86678,35.05667,172.9003,fist
62.66515,38.93712,36.15767,35.40962,34.84356,172.1395,fist
62.55419,38.88034,36.26366,35.46504,34.9083,171.89831,fist
61.69916,39.46228,36.96673,35.91618,35.08052,172.16171,fist
61.09214,39.69757,37.06045,36.00617,35.14236,172.66511,fist
61.55563,39.43983,36.69209,35.74183,34.74763,172.11646,fist
61.19777,39.59095,36.99925,35.936,35.09484,172.3709,fist
63.63811,39.77539,32.90208,32.67848,33.05569,160.36201,fist
64.58046,39.62686,32.68911,32.75946,33.53957,160.05608,fist
63.32634,39.55783,32.77708,32.80606,33.41013,161.37009,fist
66.12048,39.91555,33.03259,33.02851,33.64012,160.55041,fist
64.2258,39.68344,32.87405,33.11434,33.89849,161.99608,fist
65.59005,39.68286,32.79362,33.51056,33.84172,160.01121,fist
65.42411,39.41647,32.6459,33.33968,33.91953,159.7724,fist
65.56859,39.50126,32.67196,33.40906,33.90539,159.45205,fist
65.96163,39.47553,32.61979,33.37467,34.09533,159.11551,fist
67.18078,39.63789,32.61729,33.36578,34.34394,158.01141,fist
