thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
28.79384,96.93146,37.00924,41.53705,145.7068,okay
30.73961,95.15389,36.53058,41.05268,146.49066,okay
31.03983,94.08562,36.0462,40.49413,146.93046,okay
31.07336,93.93098,35.75357,40.34645,146.36896,okay
31.52478,93.93356,35.84489,40.39484,146.92748,okay
31.19793,94.3246,35.94606,40.56402,146.61482,okay
29.78773,90.97991,35.23978,39.71524,146.71791,okay
29.88817,90.66448,35.21147,39.68171,146.38034,okay
29.11416,91.04168,35.25994,39.67789,145.82524,okay
28.56427,90.79295,35.23695,39.61873,145.86219,okay
33.64011,108.2586,45.67409,42.66261,142.64481,okay
33.45108,108.84185,45.44718,42.86434,142.95306,okay
33.53683,107.82136,45.30438,42.65098,142.95873,okay
33.66217,108.44201,44.62268,42.7481,142.87321,okay
33.72953,107.42691,44.04912,41.82411,142.52401,okay
33.80328,107.06291,43.5988,42.57987,142.7138,okay
34.75431,106.13867,43.62514,42.65834,142.58721,okay
35.10134,104.78101,43.42143,42.55795,142.3605,okay
35.2332,103.77067,42.94387,42.513,142.31567,okay
35.27551,104.14187,42.61001,42.53405,142.35126,okay
28.81622,100.17073,40.97577,47.34288,128.67638,okay
28.76966,101.30837,41.11368,47.55091,128.68201,okay
28.78242,102.31871,41.15432,47.65692,129.07246,okay
29.27078,102.7255,40.88147,47.52735,129.36228,okay
29.56558,102.0358,40.89978,47.34608,129.12914,okay
29.64183,101.67461,41.16819,47.47671,129.17729,okay
29.93887,101.35301,41.32054,47.46038,129.25768,okay
30.19671,101.05156,41.27648,47.54454,129.6426,okay
30.4395,102.10092,41.07464,47.444,129.66517,okay
30.37676,102.83529,40.86315,47.52932,130.03014,okay
29.92029,92.17985,35.49018,46.41032,110.37783,okay
29.21326,92.1659,35.61103,46.32481,110.55042,okay
30.51837,91.84541,35.39835,45.99725,110.31364,okay
31.26367,86.62128,35.32433,46.29635,110.43708,okay
30.5441,87.35487,35.38402,46.34525,110.65686,okay
29.76273,89.0974,35.65055,46.19767,110.80885,okay
30.26575,88.89742,35.83178,46.18127,110.5674,okay
29.90307,90.65038,36.46983,46.35684,110.97734,okay
30.85454,88.54208,36.88694,45.6927,110.54473,okay
31.50569,87.20896,36.24789,46.03996,110.57847,okay
19.21435,93.63741,39.61567,50.88276,119.78263,okay
19.0441,94.32275,39.78681,50.68747,120.20849,okay
19.23337,93.72337,39.91493,50.78736,120.17232,okay
20.18719,92.49321,39.81635,50.40657,120.60065,okay
20.43596,92.62428,39.90511,50.46839,121.51758,okay
21.44197,92.34603,40.24005,50.49056,121.82585,okay
21.18358,92.80872,40.37051,50.96879,122.60827,okay
21.20554,91.86279,40.45855,50.77574,122.60739,okay
20.20397,92.54681,40.47498,51.01031,122.22539,okay
20.69253,91.90946,40.50655,51.07725,122.29574,okay
35.64744,76.61136,42.52178,50.26607,120.26695,okay
35.9557,75.81134,42.53357,50.30877,120.34918,okay
35.48819,76.34018,42.40615,50.1931,120.30083,okay
34.02699,77.78304,42.23457,50.37096,120.19084,okay
33.84336,78.09713,41.9189,50.12954,119.73961,okay
33.54123,77.84606,41.9297,49.91245,119.51536,okay
32.5167,78.54935,42.02323,49.68011,119.27566,okay
30.56476,80.42462,41.85381,49.57726,118.93441,okay
28.59346,82.09325,41.68835,49.47071,118.91674,okay
25.17046,85.30185,41.4211,49.34494,118.91221,okay
28.04646,95.75945,39.40528,45.23072,142.97755,okay
28.43482,95.33871,39.98126,45.37472,142.92056,okay
28.76789,95.23385,40.19872,45.35875,143.18922,okay
28.32558,95.2466,39.67998,45.41154,142.96796,okay
28.28284,95.72364,39.75871,45.437,143.28772,okay
28.50642,95.50798,39.92867,45.32137,143.65863,okay
28.65311,94.88164,40.4616,45.28628,143.93998,okay
28.53539,94.41315,40.55812,45.26896,144.27974,okay
28.59883,93.9042,40.79625,44.99462,144.43875,okay
28.85053,93.79225,41.41687,44.94861,144.54684,okay
29.20512,91.00065,35.64091,47.59819,127.48256,okay
29.47642,90.72139,35.69786,47.61214,127.6364,okay
29.70198,90.67301,35.29956,47.84229,127.5953,okay
27.7635,86.85921,41.90622,45.39613,129.42318,okay
28.86067,87.23872,41.43811,45.52057,129.6817,okay
29.55613,82.61,41.44623,45.67959,129.45107,okay
30.03839,82.13506,41.34733,45.52418,129.64674,okay
30.97253,80.85774,39.92852,45.91122,129.81206,okay
31.27261,80.58136,40.60616,45.9181,129.19989,okay
31.16332,81.00185,41.14169,45.90149,128.00076,okay
36.47268,86.59135,40.30766,45.99574,102.65853,okay
36.2576,86.70085,40.32785,46.01556,102.32987,okay
35.93081,86.46787,40.41752,46.07359,102.05497,okay
36.27773,86.25629,40.34608,46.21457,102.14224,okay
36.00807,86.26723,40.41105,46.28951,102.06201,okay
36.11678,86.39172,40.39049,46.26627,102.11885,okay
36.77823,86.24464,40.33732,46.28911,102.5211,okay
37.19823,85.47724,40.39144,46.21733,102.84471,okay
37.05342,85.34689,40.40576,46.25544,102.72788,okay
36.90768,85.26474,40.46538,46.23555,102.86715,okay
30.29734,69.36057,40.4912,42.59183,139.50157,okay
30.29849,70.07106,40.46173,42.47006,139.52839,okay
30.49078,70.29681,40.46473,42.47341,139.37818,okay
31.61556,70.10909,40.34591,42.37754,139.86376,okay
31.61469,69.30359,40.49522,42.50772,140.28494,okay
30.405,70.19772,40.44148,42.23117,139.64618,okay
31.32725,70.70092,40.47246,42.17233,139.43387,okay
31.82343,70.31684,40.22204,41.93299,139.78626,okay
31.52161,69.94682,40.30756,42.14893,139.74014,okay
31.00509,69.64691,40.60842,42.14581,139.66837,okay
11.89437,113.92728,47.40915,49.32621,129.35321,okay
15.41286,113.34608,45.65708,48.02141,130.19855,okay
15.28449,113.62905,46.42637,48.25864,130.77453,okay
15.20164,113.39569,46.75821,48.15427,130.93046,okay
15.40374,113.30742,45.95823,47.40547,131.62063,okay
14.77559,113.27831,46.47651,47.77436,131.44666,okay
14.42992,112.98716,46.88103,47.82801,131.24101,okay
15.67224,111.86198,46.95967,48.11167,131.07225,okay
14.68822,111.97899,46.18127,47.7659,131.67771,okay
13.90478,112.4884,46.42111,47.73775,130.87633,okay
22.01016,92.22298,40.59077,40.24859,165.41399,okay
17.76613,95.38834,41.848,42.0587,163.64025,okay
12.99288,95.51928,40.67911,45.29527,164.23414,okay
14.65827,97.08566,41.57827,43.10625,162.30372,okay
17.61832,95.0571,41.49532,42.48606,161.34508,okay
18.91963,92.34473,41.84674,43.6056,160.53067,okay
13.31872,97.50665,41.62465,43.12187,161.19841,okay
10.77109,100.18941,42.17967,41.86317,161.19096,okay
11.32649,101.10539,42.04128,39.56556,160.61369,okay
12.70901,99.88051,41.83983,39.54535,160.57021,okay
22.25047,98.77576,40.27314,41.81167,154.46742,okay
21.90042,99.25838,40.15164,41.79594,153.91889,okay
21.80885,99.20915,40.39997,41.58778,152.34815,okay
20.53247,102.3128,40.79604,42.1734,151.67856,okay
19.85639,103.36797,40.73721,42.62268,151.71021,okay
20.2028,103.88633,40.39529,42.79576,151.80191,okay
21.20704,100.36359,40.48631,41.18089,152.3624,okay
21.5419,105.63461,40.66654,41.82551,152.98616,okay
21.32923,104.96267,40.50543,41.7229,153.15632,okay
21.64318,106.67277,40.9315,41.86866,152.92468,okay
21.2289,109.2941,41.9437,45.01696,136.44484,okay
21.14479,109.42317,41.84816,44.84826,135.9828,okay
21.04188,110.42003,41.63278,44.66935,135.81878,okay
21.75148,111.50265,41.25664,44.7006,136.04868,okay
21.85468,112.82655,41.07961,44.66972,136.00494,okay
21.98624,112.84155,41.23196,44.64539,136.05671,okay
22.62565,114.68232,40.98877,44.49165,136.3825,okay
23.11473,116.12208,40.99512,44.39552,136.41396,okay
22.83208,115.55604,41.18085,44.43393,136.41467,okay
23.07346,115.43228,41.21023,44.23576,136.26714,okay
23.21326,114.01167,41.2437,43.7254,135.87573,okay
21.35374,110.90301,41.2058,44.57986,133.27789,okay
20.26878,114.67982,41.9587,44.52768,130.18204,okay
19.59526,112.58841,40.67123,45.28823,128.03986,okay
21.31603,109.26266,40.35822,45.17509,127.0104,okay
21.20988,108.79247,39.19542,45.54762,125.83121,okay
21.1283,107.00191,39.51797,45.74665,125.25398,okay
21.21241,107.42023,39.43551,45.77861,125.2838,okay
22.6988,106.39872,39.20096,45.83881,125.4174,okay
24.17422,105.4542,39.11351,46.237,125.35489,okay
31.07893,99.06978,38.7572,46.42215,125.05072,okay
31.7065,98.23131,38.30249,46.42362,125.24312,okay
39.04054,89.8159,38.77974,46.1395,125.15984,okay
103.01108,47.55676,37.93606,46.56807,122.72582,okay
77.72346,52.96911,38.86731,45.94189,116.95683,okay
79.96797,49.50329,38.64468,45.20741,114.97726,okay
68.37576,56.5903,38.62807,45.1774,115.24933,okay
55.37771,67.38642,38.40285,45.01744,116.92162,okay
80.29357,52.68095,39.4608,45.58535,123.30411,okay
70.10477,60.66748,39.20989,45.26742,124.08623,okay
13.74258,103.01144,40.2326,45.97734,116.78398,okay
13.46098,103.1067,40.18604,46.10528,116.60636,okay
13.31541,103.73653,40.58056,46.06811,116.82973,okay
13.17987,103.88239,40.49997,46.07669,116.99659,okay
13.2511,102.81411,40.02589,45.80871,117.3705,okay
13.74481,102.64077,40.0783,45.92711,117.26201,okay
13.20822,103.60763,40.44501,45.92667,117.79688,okay
13.55727,103.23031,40.22963,45.93953,117.55373,okay
13.17533,104.17676,40.44567,45.92505,117.66689,okay
13.61731,103.74107,40.31668,46.1271,117.22072,okay
10.80642,101.95582,41.00591,47.58826,90.9162,okay
10.6532,102.71127,41.12696,47.62687,90.87436,okay
10.72798,102.65335,41.05713,47.54181,90.87953,okay
10.70598,102.14313,41.1393,47.56831,90.89041,okay
10.57211,102.07703,41.16632,47.57921,90.98095,okay
10.70095,101.78509,41.18348,47.56886,91.05544,okay
10.41171,102.08205,41.33791,47.65637,91.12766,okay
10.67726,102.16558,41.24601,47.66705,91.19127,okay
10.65375,102.66707,41.11518,47.64853,91.19757,okay
10.9937,102.66667,41.10027,47.68906,91.16318,okay
14.3253,94.66115,41.45256,49.09524,86.62735,okay
13.78584,94.88386,41.67009,48.88724,86.90109,okay
13.45455,94.63277,41.79103,49.03838,86.92517,okay
14.63928,93.3843,41.5779,49.37356,87.16671,okay
15.60328,92.72398,41.28381,49.74933,87.28489,okay
15.5493,93.42335,41.66331,49.86375,87.29866,okay
14.67851,95.4399,41.67698,49.54873,87.71042,okay
13.78735,95.90424,41.47733,49.21355,87.87784,okay
14.14778,96.04338,41.915,49.49605,88.14902,okay
13.53327,96.27144,42.19002,49.25179,88.45684,okay
16.39822,98.1514,39.5264,49.75721,81.90355,okay
14.51317,100.16676,39.27035,49.12134,81.50979,okay
23.44315,99.61137,34.0976,49.9706,79.4572,okay
24.13545,98.8153,34.14132,49.61597,79.18322,okay
18.5757,101.02431,35.45376,49.15199,78.98539,okay
18.49492,100.83195,35.52634,48.96025,79.07119,okay
17.17351,101.51192,35.74844,48.68983,79.01569,okay
16.07737,101.8437,36.04497,48.40185,79.14986,okay
10.35268,99.60991,39.25755,46.85145,81.02285,okay
10.75329,100.07849,38.76408,47.17377,80.92774,okay
80.82769,91.56155,15.12919,83.40588,177.29767,rock
81.66721,91.99889,14.88541,83.26311,177.21941,rock
80.49895,92.60371,15.05522,84.59833,176.82782,rock
79.43646,92.1295,15.11263,83.67419,177.38611,rock
79.34563,92.57892,15.16184,84.17976,177.03278,rock
80.23193,93.45828,15.17799,85.26695,176.4473,rock
80.12932,92.84315,14.86147,84.51999,176.15723,rock
79.28105,92.21146,14.88671,83.74919,176.74923,rock
78.88567,91.90588,14.81824,84.13947,176.56214,rock
79.5526,92.23895,15.05156,84.24292,177.01816,rock
84.71958,101.63826,15.79486,94.89632,148.62309,rock
85.43332,102.41145,15.71453,95.0883,148.73029,rock
85.62888,102.68679,15.78896,95.45097,148.46204,rock
85.42582,102.62417,15.75929,95.22529,148.95204,rock
76.79977,93.53255,15.09734,90.03233,150.70114,rock
76.84272,93.78017,15.27183,89.83254,151.14699,rock
78.60846,96.06033,15.11611,89.97887,151.28571,rock
79.45438,96.83716,15.06293,90.06791,151.16669,rock
80.14368,97.48371,15.01686,90.18458,151.13877,rock
81.34156,98.53366,15.11986,90.86755,150.74659,rock
92.01601,102.00153,16.99373,99.50633,128.41629,rock
92.31534,102.65931,16.65977,100.12955,128.84238,rock
92.26948,103.11048,16.48993,100.55536,129.28724,rock
92.10088,104.63374,15.12903,99.94505,128.74041,rock
92.18952,103.73413,15.81768,100.04974,128.8657,rock
91.83652,103.2135,16.76925,99.84669,128.97418,rock
91.62251,102.84749,16.94378,99.80525,129.32749,rock
91.73227,103.14999,16.75415,100.15205,129.40233,rock
91.60929,104.52297,15.38953,100.7237,129.31181,rock
91.4774,103.13107,16.64928,100.7397,129.21539,rock
87.7912,112.76325,14.83719,99.54544,157.08848,rock
87.42896,112.91823,14.48923,99.58688,157.01359,rock
86.47737,112.16868,14.47776,98.94749,157.29851,rock
86.16962,111.97277,14.79018,98.37241,157.7782,rock
86.50038,112.20344,14.64936,98.71284,157.51353,rock
86.37132,112.16274,14.57497,98.48565,158.43389,rock
86.09442,111.91502,14.61912,98.14191,158.08761,rock
86.28188,112.10658,14.46033,98.13767,157.70069,rock
86.46275,112.30019,15.02431,98.65357,157.14816,rock
86.94979,112.35344,14.53131,98.15984,156.81317,rock
95.21344,108.00995,14.55019,91.17,136.18815,rock
97.29277,109.2384,14.62454,90.90292,136.47555,rock
97.6684,109.46713,14.55839,90.62573,136.68072,rock
88.40917,103.30826,12.66319,84.10603,138.48195,rock
82.97685,98.38417,13.85036,86.07184,140.12126,rock
83.10827,101.60269,14.44304,85.39577,140.92105,rock
89.81319,106.01453,14.87524,91.80767,142.12267,rock
87.96369,105.08186,14.97254,92.21644,142.57549,rock
90.22282,106.22253,15.16274,92.13704,142.64593,rock
90.07108,106.25591,15.129,91.86478,142.92208,rock
79.94265,99.17851,16.05877,94.45143,152.52603,rock
80.21121,100.32692,16.01983,94.83361,152.48254,rock
80.36226,100.44299,16.04164,94.82736,152.94582,rock
79.94178,99.52308,16.28174,94.83982,153.45842,rock
79.08627,99.80306,16.149,94.6993,153.49412,rock
79.19003,99.53104,16.24994,94.64381,153.24908,rock
79.13052,98.62506,16.32434,94.61073,153.39034,rock
79.18497,99.15456,16.24189,94.34391,152.75941,rock
79.49542,98.8337,16.29965,94.83765,152.72649,rock
78.71943,96.99046,16.43268,94.34236,152.88085,rock
89.33319,96.48637,14.78677,90.96206,174.20986,rock
88.04408,95.57836,14.92963,90.41302,174.11663,rock
89.1399,96.37574,14.53701,90.86676,174.17503,rock
87.59643,95.30296,14.75265,90.75046,174.04027,rock
90.23537,97.73087,14.80298,91.01829,174.82324,rock
87.84956,95.98814,15.05507,90.0918,175.55388,rock
87.35432,96.0586,14.92521,89.78024,175.1447,rock
87.86732,96.58516,15.14399,90.3161,175.60176,rock
87.29345,96.12075,15.05205,89.96847,175.09037,rock
88.10663,96.11059,14.65574,88.83656,175.39487,rock
94.36033,111.36398,13.96257,96.1741,178.52807,rock
96.03757,112.21603,14.07907,96.54931,177.86356,rock
96.20956,112.09781,14.31466,95.34232,177.69829,rock
95.31239,111.0147,14.49334,93.479,177.12765,rock
96.15498,112.07951,14.84681,94.74969,177.13051,rock
96.8608,111.33872,14.97323,95.12138,177.47385,rock
96.91568,111.79283,14.9463,95.57315,177.26248,rock
95.36469,111.47089,14.78441,95.56213,177.63918,rock
96.2848,111.96481,14.8089,95.1214,177.37445,rock
96.80846,111.57764,14.61493,95.29742,177.38102,rock
88.3586,116.70123,11.21257,105.41797,133.88152,rock
87.68364,116.02505,11.35091,104.0555,133.5439,rock
87.97976,116.26285,10.97291,104.97326,133.23785,rock
87.23415,116.59544,10.47434,105.13075,132.72342,rock
87.00826,116.82017,10.38247,104.76772,131.84209,rock
88.56313,117.97826,10.70668,104.7769,131.89515,rock
89.7915,118.68259,10.60063,104.77011,132.30361,rock
89.97073,118.89977,10.74271,104.93939,132.48077,rock
90.37412,119.64428,10.60979,105.30045,132.83275,rock
88.42123,117.46309,10.47153,104.4453,132.53974,rock
93.29725,109.56273,15.81354,93.24757,162.30136,rock
94.50233,110.00075,16.27948,92.10777,161.39114,rock
94.57348,110.04967,16.3994,92.64312,161.07212,rock
94.36087,109.71613,16.45018,92.09803,161.07657,rock
94.84401,109.4932,16.57277,91.6054,161.08625,rock
95.08014,109.47854,16.68962,91.25398,161.01832,rock
95.09579,108.74132,16.68595,90.99424,160.95196,rock
94.8952,108.04829,16.69158,90.61479,161.40731,rock
94.77412,108.41776,16.69426,90.83588,161.6672,rock
