thumb,index,middle,ring,pinky,palm_normal_angle,class
4479.18127,6547.77079,6407.41587,6095.13542,5260.6708,143.76689,zero
4481.99973,6550.8423,6409.43677,6090.87099,5247.84104,143.84001,zero
4489.72216,6539.63508,6389.34963,6069.43572,5253.60977,143.89522,zero
4489.52053,6539.44874,6387.82834,6072.82832,5255.80175,142.8942,zero
4480.20973,6548.78344,6404.7285,6092.58824,5263.99409,142.6319,zero
4469.53016,6543.83493,6396.69847,6082.10937,5259.94294,142.22007,zero
4487.22616,6551.13354,6394.01344,6079.97368,5259.40271,142.35876,zero
4460.71987,6575.65142,6444.28316,6123.24255,5278.28629,142.98415,zero
4443.48823,6574.48959,6452.48247,6125.80864,5282.47455,143.68964,zero
4444.19135,6567.86958,6443.9324,6111.0025,5263.31609,143.81179,zero
4430.30454,6561.37818,6441.70645,6110.13007,5260.1517,143.67714,zero
4423.08644,6556.50936,6436.08713,6113.65476,5256.38805,143.3759,zero
4413.58149,6563.57916,6446.28608,6121.52418,5258.83047,143.28379,zero
4404.98306,6570.50089,6462.25692,6136.00391,5266.05961,143.37853,zero
4387.11608,6578.1755,6475.5226,6133.43157,5266.24601,143.46341,zero
4388.81835,6576.4491,6466.5234,6128.38998,5276.96581,143.44135,zero
4409.53702,6572.64866,6457.35953,6110.73676,5284.01806,143.51446,zero
4399.6846,6577.6834,6457.87666,6111.20799,5283.42136,143.66631,zero
4403.84011,6578.5653,6462.05257,6127.51264,5276.34735,143.40074,zero
4408.61299,6577.84719,6453.23177,6099.34745,5294.10298,143.37798,zero
3891.73838,4585.3838,3544.02359,4540.27948,5152.55474,117.30256,zero
3924.06969,4435.34271,3397.48995,4341.20858,5069.88473,121.02751,zero
3787.46379,4360.68886,3399.69201,4327.10922,4930.47539,116.81816,zero
3781.0749,4393.07236,3385.41833,4286.09689,4894.61207,117.52265,zero
3900.22358,4505.13737,3529.88995,4412.89827,5021.09652,120.38248,zero
3956.40834,4583.2352,3609.06334,4421.58221,5139.78793,125.97776,zero
3940.58119,4458.62627,3490.61796,4357.87241,5116.60862,124.59698,zero
3839.13288,4352.54292,3375.4386,4296.31947,4954.33877,120.52933,zero
3708.1355,4287.1497,3260.65737,4192.27487,4819.00536,116.52569,zero
3808.63151,4301.66812,3314.44891,4209.95193,4915.59192,119.36954,zero
4317.71947,6355.73807,6264.69786,6059.62858,5509.96396,133.38193,zero
4364.19825,6397.05096,6304.06912,6071.70389,5516.70814,134.46649,zero
4380.76318,6408.00485,6284.40016,6056.89627,5519.46447,134.99265,zero
4438.63881,6351.86972,6215.76998,6002.41203,5462.58066,134.21375,zero
4438.06761,6367.91591,6229.55192,6021.35716,5498.49013,134.78598,zero
4386.56742,6448.84671,6302.06474,6070.20786,5517.59259,136.21068,zero
4366.08161,6433.35486,6285.19352,6065.60073,5538.23115,136.55138,zero
4401.01543,6432.23121,6277.10454,6058.46465,5543.26505,136.05335,zero
4408.49811,6408.0606,6257.79073,6045.73294,5542.78711,135.61194,zero
4438.64896,6398.31625,6250.04914,6030.44557,5537.78925,135.68406,zero
4003.73491,6441.40908,6440.47082,6145.99111,5428.97151,147.98568,zero
3991.79949,6426.21604,6429.74562,6139.92423,5401.77245,147.81796,zero
3992.98518,6424.73105,6429.67828,6149.25704,5399.93773,147.14117,zero
4000.86277,6438.61699,6426.99627,6157.52302,5402.76675,147.10435,zero
4003.36158,6443.53501,6428.09951,6157.54825,5405.83218,147.44068,zero
4001.98503,6425.50813,6409.85189,6145.42048,5402.47553,146.61389,zero
4013.58553,6400.76904,6394.65693,6146.36359,5392.70148,146.24099,zero
4000.87894,6398.39469,6403.57164,6146.75916,5393.20077,146.21312,zero
4004.66721,6409.11606,6412.46216,6155.23427,5398.1249,146.08015,zero
4030.71394,6402.86033,6379.63649,6134.82777,5389.05982,146.18006,zero
4084.38979,5986.46987,5867.47303,5855.5253,5206.43688,110.7487,zero
4138.27589,5987.94412,5899.67519,5910.75993,5229.12818,111.44643,zero
4100.56952,6006.75844,5917.79906,5894.3832,5196.28501,111.00199,zero
4099.13656,5939.63078,5818.90291,5854.3705,5204.82049,110.59136,zero
4076.91867,5931.72548,5797.90487,5837.28092,5220.31203,109.98846,zero
4085.0611,5959.68343,5878.2393,5929.14087,5286.23252,110.34248,zero
4085.09091,5974.61863,5869.8696,5913.3643,5268.05105,110.40592,zero
4104.28583,5957.53334,5857.00579,5902.69043,5278.90681,111.10992,zero
4161.25516,5832.69319,5726.75075,5865.20332,5298.79277,111.46109,zero
4128.34302,5819.4673,5748.52735,5858.73686,5286.13692,110.84055,zero
3999.85775,4242.20605,3389.57981,4095.35919,5451.725,105.55842,zero
3907.61539,4495.8619,3500.53584,4295.9315,5381.45777,102.99465,zero
3869.09983,4524.56533,3530.71815,4425.99804,5315.20333,105.82147,zero
3831.64017,4514.86813,3617.18635,4478.16898,5347.14025,103.73314,zero
3889.12978,4505.77099,3541.19207,4384.71389,5119.18587,103.13526,zero
3979.11551,4252.13182,3285.08022,4111.77398,5240.24654,107.0316,zero
3947.59069,4224.24767,3351.83727,4138.86377,5366.32858,104.87906,zero
3906.49192,4148.77407,3226.78859,4053.63142,5116.5643,105.99245,zero
3926.32569,4057.13042,3208.02431,3969.57305,5323.45092,107.23132,zero
3819.75325,3979.63935,3053.3153,3835.27147,5024.72218,111.11556,zero
4442.5069,6331.91039,6231.03697,6105.53136,5609.60304,132.57153,zero
4449.53225,6330.8463,6225.53739,6088.03146,5591.90185,133.29411,zero
4444.65543,6279.77479,6195.49645,6049.61277,5521.71728,134.04809,zero
4452.53105,6280.85581,6193.15225,6082.12723,5606.26159,133.00384,zero
4414.88044,6278.01626,6200.06799,6064.918,5647.23595,131.58021,zero
4420.24436,6285.8136,6191.40714,6059.35394,5650.32353,131.58575,zero
