thumb,index,middle,ring,pinky,palm_normal_angle,class
53.15463,38.82495,37.42263,36.03118,32.22114,143.76689,zero
53.14621,38.88324,37.47456,36.03558,32.1811,143.84001,zero
53.08721,38.81844,37.32108,35.83874,32.13628,143.89522,zero
53.15158,38.82085,37.22857,35.79454,32.11573,142.8942,zero
53.23619,38.89874,37.35794,35.93274,32.19919,142.6319,zero
53.27568,38.89179,37.3112,35.8451,32.16302,142.22007,zero
53.23658,38.9514,37.28951,35.84063,32.15601,142.35876,zero
53.6647,39.12774,37.68583,36.2247,32.39037,142.98415,zero
53.92162,39.09575,37.81086,36.33101,32.50396,143.68964,zero
53.89893,39.04137,37.75316,36.25091,32.41185,143.81179,zero
53.83321,38.9841,37.71655,36.23033,32.39571,143.67714,zero
53.57226,38.93913,37.64568,36.2272,32.37599,143.3759,zero
53.59724,39.01727,37.72919,36.2834,32.39949,143.28379,zero
53.81067,39.09021,37.88725,36.43582,32.49176,143.37853,zero
54.15574,39.15245,37.98454,36.45092,32.50457,143.46341,zero
54.14628,39.16832,37.90645,36.35926,32.48037,143.44135,zero
54.24956,39.16774,37.86086,36.19574,32.42329,143.51446,zero
54.39422,39.23095,37.84795,36.17993,32.40318,143.66631,zero
54.19563,39.17802,37.892,36.35044,32.47282,143.40074,zero
54.45558,39.23552,37.86438,36.12003,32.47783,143.37798,zero
38.38396,27.9524,22.20859,27.64399,31.01299,117.30256,zero
38.48843,26.89695,21.1354,26.58823,30.61439,121.02751,zero
37.68599,26.97853,21.31445,26.63954,30.04555,116.81816,zero
38.39705,27.29463,21.22481,26.35408,30.06278,117.52265,zero
39.47865,27.40299,22.14882,27.10433,30.54683,120.38248,zero
40.48244,27.05997,22.33719,26.98746,30.82863,125.97776,zero
39.58872,26.61529,21.665,26.64405,30.82186,124.59698,zero
38.43815,26.5996,21.01442,26.29276,30.30606,120.52933,zero
37.7094,26.97909,20.37271,25.67586,29.4665,116.52569,zero
38.50169,26.74685,20.65476,25.7357,29.96758,119.36954,zero
52.54425,36.91881,36.42091,35.52808,33.41844,133.38193,zero
52.69655,37.42198,36.84415,35.75826,33.51827,134.46649,zero
53.05158,37.43771,36.68348,35.62943,33.47285,134.99265,zero
52.94678,36.90811,36.04448,35.08026,33.00882,134.21375,zero
52.89162,37.13059,36.15031,35.20106,33.18473,134.78598,zero
53.35624,37.74868,36.80699,35.7096,33.36162,136.21068,zero
53.10477,37.69042,36.66053,35.6342,33.45363,136.55138,zero
53.55204,37.83938,36.58786,35.51487,33.37914,136.05335,zero
53.78632,37.68217,36.44035,35.39215,33.36971,135.61194,zero
53.73888,37.60415,36.4165,35.32317,33.36634,135.68406,zero
53.24693,37.59058,37.25319,35.70357,33.25323,147.98568,zero
52.79501,37.43722,37.16022,35.65776,33.06907,147.81796,zero
52.60674,37.37193,37.10329,35.67905,33.03773,147.14117,zero
52.26282,37.40022,37.02883,35.65717,32.9764,147.10435,zero
52.29961,37.43931,37.0485,35.66499,32.96595,147.44068,zero
52.2096,37.2867,36.90113,35.5635,32.92517,146.61389,zero
51.90441,37.0367,36.73771,35.51408,32.8358,146.24099,zero
52.08751,37.01023,36.79099,35.5008,32.82446,146.21312,zero
52.07169,37.09224,36.85609,35.56757,32.872,146.08015,zero
51.82871,37.01925,36.61674,35.41498,32.76606,146.18006,zero
47.77011,33.35977,33.70905,33.89738,31.50356,110.7487,zero
48.26258,33.41232,33.8106,34.13427,31.66802,111.44643,zero
48.05072,33.59995,33.91756,34.12814,31.60168,111.00199,zero
47.77565,33.32586,33.43812,33.88162,31.62239,110.59136,zero
47.69993,33.24729,33.34735,33.76458,31.58594,109.98846,zero
48.22985,33.25079,33.68804,34.13947,31.79759,110.34248,zero
48.24829,33.38147,33.65632,34.08142,31.70058,110.40592,zero
48.31764,33.31934,33.64228,34.0335,31.68918,111.10992,zero
48.09504,32.73201,33.04146,33.78587,31.66277,111.46109,zero
47.86627,32.63363,33.15878,33.82957,31.75018,110.84055,zero
44.81917,26.91087,21.1852,25.44309,31.92678,105.55842,zero
42.96611,28.26146,22.01089,26.541,31.62805,102.99465,zero
42.6463,28.27978,22.27243,27.18747,31.32726,105.82147,zero
42.80864,28.21658,22.68155,27.38004,31.61532,103.73314,zero
43.28638,28.44394,22.16273,26.98291,30.51232,103.13526,zero
43.03834,26.60532,20.49433,25.49468,30.78378,107.0316,zero
42.6146,26.5603,20.93414,25.66645,31.52717,104.87906,zero
