thumb,index,middle,ring,pinky,palm_normal_angle,class
77.1304644477,153.65849255,8.05110597472,19.2513714116,24.280803405,120.96878,okay
76.5661473883,153.461960687,7.3080403034,19.2440887224,24.3800238555,121.12392,okay
77.3379929154,153.140572966,6.78391036952,19.0556677088,23.7637700377,121.0851,okay
76.6819190947,152.716500181,6.3376275167,18.9457921632,22.8673606431,121.37538,okay
77.2739189108,153.182045874,5.80822467677,18.3098008062,22.1436303835,121.04207,okay
77.9273152974,153.773936408,7.08000291202,18.7269768078,22.5529192243,120.86923,okay
78.2701361522,154.199989948,7.52910620608,19.0150605267,23.5205965202,120.90182,okay
77.8518417071,154.482937364,7.45435149316,18.8663007141,23.1145400665,120.70528,okay
77.6273812004,154.312046031,6.75667968596,18.6403700092,22.8010770723,120.74107,okay
78.5756778346,154.209661495,7.21583104206,18.760379848,22.5498456391,120.6566,okay
87.7849584963,154.998794231,10.2714980211,12.0506922904,11.6292704724,102.81483,okay
86.4998515737,155.948600337,10.7512547772,12.4540807015,11.512163464,103.05404,okay
86.7960427271,156.449867921,11.2018380879,12.5459108873,11.6384656146,103.45844,okay
87.6882703384,156.190102166,16.8859932322,12.2494909226,11.3226513277,103.67589,okay
87.7558755508,155.96675498,16.4617172489,11.7480107498,11.0684692528,103.75322,okay
87.5903459162,156.408121804,16.705310823,11.9395941409,11.298551859,103.94797,okay
88.6565657664,157.525007998,16.6538009513,12.0058555136,11.2992323166,103.9887,okay
88.4370571469,158.114070833,17.0334843371,13.1815701264,12.3094010731,104.04066,okay
88.8395670249,158.446222932,6.30959812789,13.4364386353,12.7555968411,104.22789,okay
89.1107050444,158.36274436,8.55400511935,12.9822114187,12.6623954947,104.23628,okay
62.1280085773,145.181380847,8.7251483156,22.1377666661,24.7655931568,131.21603,okay
62.2624676813,144.164884774,7.58785949332,22.8412010186,25.1689653462,131.29454,okay
63.6352742327,143.470268196,5.91658904305,22.9795977266,24.8776629007,130.99083,okay
63.2073560511,143.289035956,4.59141366953,23.4192160224,25.1621949212,131.20303,okay
63.9632121054,142.823982036,4.08667378892,23.0153503518,24.7212566914,131.26411,okay
63.3845584789,143.187634968,5.16888353885,23.4778753945,25.4889255579,131.46781,okay
64.6113697368,143.348964036,4.85369293366,23.2468391232,25.1707155822,131.26561,okay
61.9301038461,142.697063461,4.36488916504,23.2360286413,25.2753216369,131.58265,okay
62.2639908135,143.347119885,4.02253276309,22.7052187824,24.4484025869,131.32036,okay
60.3830386783,143.685583079,4.20137102122,22.8966860603,24.6605943663,131.69599,okay
37.8572045692,126.218672013,14.3954108551,10.4348274809,6.31000196282,122.00607,okay
38.3274733388,126.245760543,16.948124048,10.503803,6.34714922729,122.0188,okay
36.9964163187,125.861015987,17.4930963041,10.9837236807,8.25364242795,121.48877,okay
34.9108043952,125.457133241,18.947769503,9.91163242916,7.96548101574,122.34798,okay
36.270766776,123.730953192,19.5498233575,10.4844710033,8.13416961276,122.6427,okay
35.9038831647,122.884856679,18.9632347588,10.4503721377,8.4953491623,122.7715,okay
36.5356005308,122.177809156,19.1736097079,10.8015744884,8.63806425746,123.1286,okay
36.0635524969,121.262741392,18.5947562983,10.7422073379,8.34532064209,123.29431,okay
36.0205393806,120.79617117,18.5035818107,10.7569101739,7.75876192541,123.63644,okay
35.1624353944,119.237358077,19.7109150767,10.8667088799,7.56073339703,123.82815,okay
38.2224250294,116.901733909,19.5376639133,4.28194249399,1.15148078144,171.44496,okay
38.8470389988,117.820722202,19.8519858038,3.85534083126,1.45589046664,171.22976,okay
37.9102853843,117.377620509,20.2989089868,4.67713425116,0.584837615725,171.58397,okay
38.9879594618,118.942512471,21.0347986907,3.97704882586,1.79656728239,171.4548,okay
38.8834165863,118.858064012,20.0662368852,4.0151749418,1.44550356318,171.51718,okay
38.9312791369,119.138661843,20.8124828634,4.07082945759,1.72997453881,171.44131,okay
39.0101405011,119.151762146,20.9446828823,3.97389626667,2.22017241306,171.35819,okay
39.018657747,118.836986048,19.9485937069,4.04573662324,1.67619736454,171.5445,okay
39.44608074,116.292399073,18.5624495036,5.18572465091,0.753554227199,170.79852,okay
39.5948354299,115.612289816,19.8521172849,5.85504519664,0.822105527526,170.39274,okay
64.0216853548,146.605789477,3.39020900421,20.9490473732,20.7644102844,139.92674,okay
63.5569592837,145.761960587,2.31215328996,19.6014186065,19.684714471,139.62346,okay
65.1989572508,145.597134462,3.11690368033,19.2825648855,18.774965717,139.33378,okay
66.6056415405,146.11446665,2.02139149666,20.2291283592,19.3489013903,139.04769,okay
65.6408226787,145.379224106,1.80167967898,21.2485238475,20.3291786777,138.99999,okay
63.3038256429,145.689929412,1.38437358355,21.4280382944,20.4115422213,139.50487,okay
64.68405661,146.234117904,0.648610878562,19.7915796108,19.2768463096,139.46502,okay
65.6244780361,145.592175744,1.13763225273,19.3972881579,18.9990283651,139.53141,okay
66.2754155545,145.344567726,0.698295755658,19.4817895508,19.0729088138,139.36535,okay
66.2364698159,145.372953993,0.494164239811,19.7325018895,19.2523652041,139.22674,okay
60.5890713346,152.170344594,1.71166493608,7.63288324656,6.42425053707,98.24464,okay
60.777775801,151.985874845,0.861165031511,8.29623548762,7.07065921323,98.32108,okay
59.5281926924,151.482298658,1.33939870886,9.38680240088,7.77915004008,98.57533,okay
59.8483168286,152.148269423,1.36701935353,9.32280608968,7.62840861888,98.50642,okay
60.4728488357,152.526047186,1.46406673668,8.92865209438,7.27478155101,98.64314,okay
59.7673312756,152.077795531,0.689270407722,9.38696974052,7.57872496908,99.04323,okay
59.5038977095,152.107042401,0.652521001779,9.36374112092,7.51958662993,99.25097,okay
60.3003933893,153.258161503,1.77641086054,7.94116981116,6.46574905892,98.61882,okay
60.33832826,152.416668536,0.977587793709,8.43756917702,7.09511513244,98.67501,okay
59.9178413241,153.074770923,2.91873043731,6.3462839277,5.92387301291,98.83738,okay
25.3232149233,121.911732307,30.8404248763,13.1781703997,7.22200041043,132.72318,okay
24.4514881248,123.283685085,32.0591116243,13.0878829829,7.58325509205,132.8178,okay
23.9208302376,125.020711474,32.8606753045,13.1984227644,7.94173842441,132.33016,okay
25.2628258058,124.948297808,32.3917657425,13.7633519795,7.93610095702,132.13696,okay
25.8068367128,124.729800057,33.0282574109,13.0862386148,7.80011359819,132.69918,okay
25.6264975206,124.74254519,33.2919232034,11.9355318859,7.84650338926,132.67209,okay
25.5668238653,124.921332221,33.184887309,12.304754837,8.07200037716,132.70961,okay
25.723259103,125.319026816,32.4542551432,11.9554803071,7.64703710606,132.63704,okay
25.2980046951,125.746159526,33.6700697966,12.2586621591,7.38208809174,132.77238,okay
24.9920600316,125.679210012,34.1444196043,12.4773690852,6.69298603751,132.83415,okay
44.0137116908,126.507288486,13.6798913367,2.91913299159,2.46600970431,163.40009,okay
43.5868146224,125.952868371,13.564075234,4.7320549485,3.62709255779,163.28207,okay
42.6395288562,125.488743356,13.4409209469,4.37694316827,3.76702008199,164.09072,okay
41.3638305193,126.755866391,13.8049896665,2.98327529808,4.64679711219,165.62722,okay
41.9584292224,126.399631044,13.951384526,4.11594456461,5.22472289664,165.32914,okay
41.4562088278,124.5161654,13.1672753942,6.08563238302,5.69440042803,164.6,okay
41.4662389606,124.680977864,12.7029787712,6.08141089923,5.88019992958,164.86052,okay
41.9960567345,125.668431973,12.5226216498,6.77222007387,7.30567705795,165.07909,okay
41.5715468172,125.24300681,12.6597470889,6.98216002527,6.69887323369,164.7659,okay
43.2903639218,126.345918437,12.5020192379,6.70323388259,6.7004539956,164.90716,okay
59.8485353946,136.669052688,5.14696460803,5.7677570866,6.2012794385,109.78127,okay
60.6057506566,138.611708752,5.89488184809,5.80484885577,6.30422020769,110.58705,okay
60.4751506095,138.066577694,6.14407788486,5.6147864624,6.47801992065,110.19217,okay
