thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
20.17839,100.62292,35.04553,39.96573,120.96878,okay
19.85999,100.24612,35.11026,39.91425,121.12392,okay
19.66688,100.28844,35.04301,39.9928,121.0851,okay
19.65848,100.18231,35.02629,40.02868,121.37538,okay
19.67964,100.27562,34.81866,40.01563,121.04207,okay
19.84958,101.10342,34.8446,39.93109,120.86923,okay
19.54444,101.58786,34.93482,39.93849,120.90182,okay
19.49875,101.64854,34.95582,39.94751,120.70528,okay
19.05619,101.17754,34.95468,39.92364,120.74107,okay
19.00564,101.68927,34.87974,39.99929,120.6566,okay
11.44952,91.19579,32.34312,36.81896,102.81483,okay
12.17042,95.27918,32.31406,36.85316,103.05404,okay
12.22576,97.19405,32.38919,36.70675,103.45844,okay
11.90967,96.53959,32.68982,36.49867,103.67589,okay
11.91544,95.50396,33.09615,36.45325,103.75322,okay
12.17464,95.70161,33.12518,36.49832,103.94797,okay
12.36256,96.30462,32.94725,36.39778,103.9887,okay
13.18521,97.01959,32.57389,36.53171,104.04066,okay
13.37839,94.70325,32.43219,36.74656,104.22789,okay
13.08262,92.06049,32.67095,36.6218,104.23628,okay
19.67114,96.53696,37.32792,39.45385,131.21603,okay
19.87375,96.9392,37.68256,39.54944,131.29454,okay
18.9121,96.24883,38.19289,39.30652,130.99083,okay
18.6413,96.37133,38.51952,39.26708,131.20303,okay
18.40409,95.57023,38.8774,39.23442,131.26411,okay
18.74884,96.89391,38.68205,39.31468,131.46781,okay
18.59227,96.85452,38.87455,39.40865,131.26561,okay
18.43529,95.92557,39.0137,39.18244,131.58265,okay
18.71868,95.50098,38.95027,39.30076,131.32036,okay
19.19157,95.70579,38.89677,39.45277,131.69599,okay
17.04833,84.10069,38.36484,43.46222,122.00607,okay
17.06925,81.60085,38.64429,43.36493,122.0188,okay
18.0661,80.78143,38.93714,43.33221,121.48877,okay
18.11594,79.76385,37.60702,43.94718,122.34798,okay
17.02649,78.4334,39.47554,44.02893,122.6427,okay
16.88585,78.83155,39.5553,43.95307,122.7715,okay
16.90779,77.84524,39.30022,44.14051,123.1286,okay
16.92327,78.04313,38.86614,43.92551,123.29431,okay
16.58238,78.10927,38.76558,43.54925,123.63644,okay
16.14678,76.91494,39.0463,43.6132,123.82815,okay
9.8944,83.93276,39.88165,39.13236,171.44496,okay
10.14649,84.22784,40.32081,38.91267,171.22976,okay
10.63418,84.01181,40.4283,39.29163,171.58397,okay
10.35793,84.04818,39.97654,38.96902,171.4548,okay
10.25819,84.63371,39.78795,38.83274,171.51718,okay
10.62952,84.58101,40.01188,38.78007,171.44131,okay
10.41742,84.4444,39.7874,38.66259,171.35819,okay
10.10961,84.77119,39.79136,38.84955,171.5445,okay
8.92022,84.66666,40.66893,39.12019,170.79852,okay
8.4856,83.79182,41.43712,39.32901,170.39274,okay
21.19044,94.83788,38.25354,41.30855,139.92674,okay
20.77511,94.52936,37.89428,41.13556,139.62346,okay
19.94626,95.7333,37.17853,40.88596,139.33378,okay
20.0605,95.44023,37.33756,40.76013,139.04769,okay
20.37426,95.02455,37.45592,41.00807,138.99999,okay
20.69532,93.85465,37.69278,41.39241,139.50487,okay
20.95331,92.33878,37.46817,41.01453,139.46502,okay
20.77841,91.86937,37.29143,40.97774,139.53141,okay
20.66515,91.95676,37.27083,40.98293,139.36535,okay
20.74481,92.50228,37.15869,40.9753,139.22674,okay
21.30132,103.49882,34.03059,41.30613,98.24464,okay
20.88617,103.42197,34.19315,41.13613,98.32108,okay
21.03949,104.47968,34.51902,41.33207,98.57533,okay
21.15928,104.28739,34.55087,41.49977,98.50642,okay
21.33696,104.36184,34.59019,41.46959,98.64314,okay
21.44795,104.82967,34.26378,41.54395,99.04323,okay
21.55291,104.89438,34.13135,41.69785,99.25097,okay
21.82297,103.76003,34.12621,41.35303,98.61882,okay
21.32167,104.93436,34.29585,41.48626,98.67501,okay
21.60547,103.01875,33.91876,40.84297,98.83738,okay
16.29857,71.51888,41.44339,43.8576,132.72318,okay
17.03609,71.89098,41.8312,44.46936,132.8178,okay
17.95958,72.5442,42.23618,44.12117,132.33016,okay
17.92306,71.26477,41.65065,44.08229,132.13696,okay
17.50614,70.30369,42.63475,44.10019,132.69918,okay
17.57191,70.03738,42.87633,44.05163,132.67209,okay
17.50963,70.17107,42.88787,44.27176,132.70961,okay
17.64954,70.59615,42.1787,44.22152,132.63704,okay
17.84963,70.25173,42.82763,44.26233,132.77238,okay
17.76061,70.22778,43.07228,44.22111,132.83415,okay
11.66598,92.064,37.83228,38.18695,163.40009,okay
11.54159,92.50459,38.57094,38.6606,163.28207,okay
11.27322,92.16401,38.4625,38.89594,164.09072,okay
12.90482,91.66125,38.20537,38.72612,165.62722,okay
12.44173,91.76521,38.90265,39.19474,165.32914,okay
11.40938,92.83,39.54646,39.62807,164.6,okay
11.48842,93.12868,39.27299,39.57169,164.86052,okay
12.19245,93.3154,39.52248,39.51059,165.07909,okay
12.01987,93.60863,39.42906,39.57002,164.7659,okay
12.40395,93.13359,39.67118,39.05825,164.90716,okay
17.07019,89.51305,32.29472,36.17982,109.78127,okay
16.82221,89.68114,31.93948,35.85334,110.58705,okay
16.86012,89.3672,32.13124,35.77293,110.19217,okay
17.19491,88.57173,32.51399,35.66458,109.93852,okay
17.28534,86.98402,32.78691,35.59222,110.22096,okay
17.15534,86.6234,32.4596,35.50484,110.87877,okay
16.98819,86.44333,32.37732,35.72805,110.32107,okay
16.99581,87.08372,32.56247,35.85357,108.88746,okay
17.18715,87.20539,32.82317,35.8903,108.37958,okay
17.27593,87.4855,32.77722,35.80266,108.68056,okay
13.50546,83.89548,29.18282,37.54302,137.57853,okay
13.27024,84.60579,29.6831,37.92742,138.05331,okay
14.43844,83.92383,29.87579,38.61736,139.03211,okay
15.19408,83.85727,29.72009,38.85593,138.94599,okay
14.51172,84.21508,29.60731,38.26402,138.39068,okay
13.80552,85.02392,29.89271,37.71325,138.60212,okay
