thumb,index,middle,ring,pinky,palm_normal_angle,class
61.53786,43.37545,93.03134,91.56967,83.15668,120.96878,okay
61.47253,43.44406,93.049,91.58976,83.18715,121.12392,okay
61.30609,43.48309,93.05224,91.57655,83.13676,121.0851,okay
61.49415,43.62278,93.16565,91.65682,83.11718,121.37538,okay
61.40952,43.33497,93.14095,91.50242,83.07632,121.04207,okay
61.03925,43.02638,93.29581,91.73105,83.2151,120.86923,okay
60.88446,43.13776,93.48979,91.89936,83.3985,120.90182,okay
60.75924,43.07962,93.51754,91.95393,83.46227,120.70528,okay
60.60526,43.23415,93.4049,91.87616,83.36465,120.74107,okay
60.43129,43.0827,93.51424,91.8865,83.30295,120.6566,okay
49.38071,37.98776,93.03506,92.32468,83.9058,102.81483,okay
49.63941,37.70639,94.99501,92.89343,84.11803,103.05404,okay
49.51211,37.46835,96.0378,92.66658,84.02244,103.45844,okay
49.27586,37.50127,95.79061,92.42973,83.84084,103.67589,okay
49.46148,37.61967,95.45789,92.14092,83.70069,103.75322,okay
49.49279,37.44398,95.348,92.29993,83.85289,103.94797,okay
49.24569,37.09245,95.33675,92.29921,83.82121,103.9887,okay
49.63879,36.99828,94.95373,92.01305,83.80233,104.04066,okay
49.81565,36.91777,93.49078,92.04208,83.94122,104.22789,okay
49.75808,36.86064,92.28041,91.74679,83.91252,104.23628,okay
66.60615,48.12237,90.55573,91.17719,83.88098,131.21603,okay
67.18877,48.38892,91.19628,91.58197,83.90469,131.29454,okay
66.57816,48.50082,91.48058,91.71642,83.64597,130.99083,okay
66.42307,48.49824,91.97668,91.79616,83.48285,131.20303,okay
66.25423,48.4554,92.33357,91.71429,83.28444,131.26411,okay
66.23296,48.20918,92.49632,91.97813,83.59777,131.46781,okay
66.13931,48.27977,92.54893,91.98837,83.56732,131.26561,okay
66.18101,48.46421,92.31406,91.82182,83.47317,131.58265,okay
66.20673,48.18625,92.0981,91.61475,83.38846,131.32036,okay
66.62225,48.14828,92.03504,91.46056,83.35921,131.69599,okay
69.27571,53.69639,97.79459,91.68423,82.06046,122.00607,okay
69.19546,53.56588,97.16577,91.59949,81.72498,122.0188,okay
69.75356,53.39185,97.40688,91.1352,81.45688,121.48877,okay
69.9986,53.48589,97.42245,90.11312,81.01545,122.34798,okay
69.49261,54.32216,96.95051,90.90569,81.47551,122.6427,okay
69.66607,54.75874,97.18301,91.00546,81.56488,122.7715,okay
69.66314,55.06044,96.95555,90.94525,81.52261,123.1286,okay
69.81497,55.45322,97.35027,90.83062,81.36886,123.29431,okay
69.68225,55.63232,97.51588,90.68554,81.11709,123.63644,okay
69.92129,56.54473,97.39285,90.86479,81.1172,123.82815,okay
68.50915,59.94512,96.4454,92.58511,82.71716,171.44496,okay
68.16622,59.52021,96.40686,92.8252,82.82056,171.22976,okay
68.58135,59.63879,96.58152,92.8778,82.91373,171.58397,okay
68.11965,58.95265,96.24646,92.35917,82.65692,171.4548,okay
68.12323,59.06241,96.1332,92.32391,82.52596,171.51718,okay
68.13515,58.95541,95.90448,92.38562,82.58565,171.44131,okay
68.02627,58.93747,95.8827,92.1869,82.34074,171.35819,okay
68.01213,59.06173,96.20249,92.23351,82.41043,171.5445,okay
67.93298,60.30774,96.5932,92.85483,82.47112,170.79852,okay
67.72258,60.60611,96.43759,92.88603,82.52145,170.39274,okay
66.95554,45.96612,90.76127,92.67474,85.2159,139.92674,okay
66.67201,46.14488,91.38068,92.5153,84.96649,139.62346,okay
66.0751,46.29992,91.62444,92.23428,84.54889,139.33378,okay
66.08052,46.15412,91.20296,92.52831,84.51513,139.04769,okay
66.36937,46.52202,91.63365,92.55642,84.27145,138.99999,okay
66.25964,46.2901,90.84395,92.20746,84.47257,139.50487,okay
66.07254,45.89894,90.2058,91.86826,84.23925,139.46502,okay
66.16878,46.21713,90.14974,91.74065,84.006,139.53141,okay
66.06524,46.31946,90.27351,91.75244,84.07542,139.36535,okay
66.10838,46.2572,90.55276,91.86972,84.14313,139.22674,okay
60.47259,42.33071,96.84804,93.41082,84.44583,98.24464,okay
60.33539,42.18799,97.16135,93.62907,84.67287,98.32108,okay
60.33865,42.41513,97.62739,94.00772,84.98413,98.57533,okay
59.94413,42.2224,97.26081,93.90737,84.82921,98.50642,okay
59.84452,42.31651,97.13918,94.10519,84.82229,98.64314,okay
59.85813,42.43952,97.22972,94.16255,84.93604,99.04323,okay
59.82067,42.40939,97.26001,94.13959,84.93394,99.25097,okay
59.75936,41.8067,96.80009,93.71992,84.5463,98.61882,okay
59.92046,42.4546,97.54287,94.41479,84.94637,98.67501,okay
60.1276,41.96206,96.76086,93.69022,84.36572,98.83738,okay
70.35261,55.24868,92.59527,88.44476,78.90894,132.72318,okay
70.7047,54.79826,92.39118,88.6009,79.38067,132.8178,okay
70.89454,53.96686,92.33702,88.83498,78.77656,132.33016,okay
70.83946,53.95921,91.90141,88.5603,78.23702,132.13696,okay
70.62338,54.03891,91.89386,88.51327,77.8692,132.69918,okay
70.64021,53.97781,91.71888,88.41274,77.69854,132.67209,okay
70.5439,53.9057,91.80227,88.47592,77.82121,132.70961,okay
70.47509,53.66941,91.9295,88.35285,77.81271,132.63704,okay
70.44695,53.38242,91.53606,88.05383,77.70797,132.77238,okay
70.4706,53.50188,91.56241,87.95787,77.43312,132.83415,okay
66.0719,55.71809,96.74879,93.17841,83.69589,163.40009,okay
66.24104,55.96169,96.78014,93.55309,84.0094,163.28207,okay
66.45447,56.32563,96.91363,93.46796,84.12069,164.09072,okay
66.97274,55.62058,96.54329,92.498,84.17552,165.62722,okay
66.86992,55.86986,96.74569,92.87368,84.30881,165.32914,okay
66.92043,56.95358,97.48283,93.89405,84.49561,164.6,okay
66.94911,56.8966,97.55596,93.88637,84.53667,164.86052,okay
66.85078,56.3544,97.19736,93.70074,84.77293,165.07909,okay
67.08546,56.67593,97.33569,94.00246,84.76717,164.7659,okay
66.50644,55.94981,96.83196,93.66501,84.59024,164.90716,okay
63.0556,48.23733,94.56902,91.85747,82.9125,109.78127,okay
62.85792,47.37815,94.08511,91.64923,82.74966,110.58705,okay
63.0325,47.57483,94.06325,91.86317,83.13212,110.19217,okay
63.40439,47.76195,93.72718,91.77599,83.3712,109.93852,okay
63.69114,48.37046,93.00044,91.5407,83.43155,110.22096,okay
