thumb,index,middle,ring,pinky,palm_normal_angle,class
3022.38818,7682.37317,3602.51252,1111.21444,1102.44973,130.54393,okay
3051.29595,7700.47567,3565.63481,1086.56211,1112.99537,130.74485,okay
3067.29639,7716.86862,3596.35955,1054.93052,1139.67883,130.80371,okay
3105.51108,7702.48985,3649.1444,959.58879,1098.8242,130.66398,okay
3072.14046,7703.20154,3643.41869,973.99093,1111.84796,130.79023,okay
3093.34138,7742.27331,3584.31798,1054.46335,1131.82746,130.46294,okay
3139.02986,7722.67704,3645.82034,997.24765,1109.74487,130.14622,okay
3106.50222,7701.97047,3656.28033,1010.68414,1132.71271,130.50758,okay
3031.3361,7646.2717,3641.61012,1053.19825,1123.23298,130.51513,okay
3060.9991,7589.19402,3717.07707,1145.00356,1141.47561,130.21967,okay
3152.67021,7653.57682,3769.01963,1214.10882,1179.48809,130.59596,okay
3097.76504,7609.41014,3748.3312,1146.2861,1153.20462,130.23631,okay
2954.40686,7583.53944,3709.01701,1264.96324,1172.55559,130.52882,okay
3032.11408,7676.13887,3783.85301,1257.37281,1165.58321,130.38786,okay
3032.97678,7614.64201,3748.31462,1167.68419,1163.68554,130.32875,okay
3120.00944,7674.45975,3693.02442,1217.7244,1200.51001,130.42468,okay
3129.49033,7737.70762,3751.62133,1064.33132,1166.38778,130.80572,okay
3019.90648,7679.62475,3789.53626,1161.75101,1200.16709,131.18411,okay
3181.55168,7711.8174,3813.95439,1178.86729,1170.89692,130.98106,okay
2972.54161,7678.98675,3767.02652,1212.68275,1164.49369,130.881,okay
3408.8892,8171.50369,2727.52844,534.41017,1157.00833,115.70377,okay
3424.78222,8181.39495,2807.97605,600.2488,1158.4022,115.95787,okay
3431.87131,8167.38721,2990.78956,632.78818,1147.67639,115.95734,okay
3578.55907,8221.00923,3010.92565,799.26852,1212.11064,116.49375,okay
3565.84581,8235.66918,2985.4925,1019.20662,1246.89024,117.06317,okay
3566.09578,8221.34971,3012.86531,1023.96146,1243.62969,117.01331,okay
3594.19986,8220.90941,3066.63499,1081.94276,1247.68144,117.11063,okay
3618.30158,8225.6556,3070.76389,1077.32494,1237.77325,117.32131,okay
3555.81266,8212.10219,3188.1293,1230.98216,1219.26436,117.96498,okay
3571.04594,8204.08276,3148.20551,1173.89255,1212.14316,117.96033,okay
3645.17139,7991.82444,3273.20306,1065.06504,1217.98806,120.26963,okay
3654.79195,7998.22711,3311.76004,1076.99739,1275.96056,119.87374,okay
3546.41003,8008.54392,3061.52578,727.64387,1158.82938,120.59721,okay
3494.85235,8034.04791,2904.08227,523.08409,1037.2431,120.96137,okay
3504.72811,8070.70334,2921.93526,557.49816,1025.23823,120.72302,okay
3612.78396,8052.05197,3045.36876,781.52379,1201.13524,120.19263,okay
3599.42635,8087.62874,3063.30332,731.85919,1145.26068,120.28837,okay
3495.51656,8065.69576,2937.80492,639.72345,1128.30783,120.47549,okay
3502.26842,8060.39815,2840.58806,578.53889,1159.95317,120.75199,okay
3453.1051,8057.3951,2805.89596,522.88396,1160.48163,121.26976,okay
3372.80832,8203.45026,3605.66671,1015.06306,338.23695,120.12056,okay
3374.32187,8199.39894,3518.31181,992.54929,360.84435,120.07938,okay
3331.91864,8206.56729,3640.06567,998.9086,370.32662,120.04633,okay
3319.22779,8261.11147,3755.56804,1049.17533,407.02718,120.30945,okay
3323.11858,8259.39466,3745.90967,1116.98146,418.7023,120.78244,okay
3304.28514,8268.3764,3739.71446,1190.04044,436.05252,120.90192,okay
3338.17719,8236.26605,3623.19591,1021.84621,425.30875,120.88503,okay
2625.32615,8513.0291,3768.21285,1084.57299,561.75066,120.83708,okay
2817.3317,8460.19149,3863.98714,919.59013,549.1739,120.83898,okay
2724.62293,8504.05496,3802.31602,877.58456,594.69958,121.18148,okay
2663.37885,8151.50302,3503.46028,1103.80043,451.40388,128.50761,okay
