thumb,index,middle,ring,pinky,palm_normal_angle,class
88.65332,83.82368,103.88486,99.73175,97.50871,130.54393,okay
88.5044,83.28615,103.94297,100.16614,97.89559,130.74485,okay
88.05943,83.1897,104.20538,100.45918,98.52081,130.80371,okay
88.33947,83.58106,104.08489,99.99973,98.0589,130.66398,okay
88.56905,83.74438,104.02342,99.80286,97.89436,130.79023,okay
87.92017,83.14455,104.56982,100.68021,98.58564,130.46294,okay
88.38502,83.64198,104.98524,100.88585,98.78296,130.14622,okay
88.42233,83.74181,104.7822,100.86086,98.88438,130.50758,okay
89.05241,84.30084,104.61879,100.57926,98.37617,130.51513,okay
88.9073,84.52812,104.49086,100.31185,98.26554,130.21967,okay
87.74299,83.78946,104.80024,101.10648,99.4847,130.59596,okay
88.75912,84.71563,104.61094,100.47633,98.64822,130.23631,okay
89.34974,85.08453,104.59719,100.34638,98.32962,130.52882,okay
88.3105,84.34396,104.53767,100.46676,98.63573,130.38786,okay
89.2104,84.98305,104.50427,100.34331,98.44111,130.32875,okay
88.03276,83.89842,105.04523,101.22936,99.45898,130.42468,okay
87.70241,83.6044,104.62569,100.85282,99.25552,130.80572,okay
88.40429,84.25913,103.79219,99.81094,98.43284,131.18411,okay
87.81977,83.74738,104.19859,100.43047,99.06023,130.98106,okay
88.92849,84.65083,104.18915,99.8219,97.94627,130.881,okay
83.35193,76.80579,112.93965,110.07912,101.86964,115.70377,okay
83.40129,76.77856,112.52357,109.88039,101.78619,115.95787,okay
83.33366,76.93732,111.57597,109.57968,101.50904,115.95734,okay
83.79671,75.85603,111.95361,109.5565,102.02151,116.49375,okay
84.35998,73.1842,112.61073,109.7477,102.42597,117.06317,okay
84.24094,73.44784,112.34198,109.36222,101.98529,117.01331,okay
84.14537,73.37314,112.02128,109.04631,101.70261,117.11063,okay
83.96088,73.25807,111.99628,109.06827,101.54691,117.32131,okay
84.53572,73.36116,111.16978,108.20164,101.04376,117.96498,okay
84.42313,73.63587,111.19727,108.36665,101.08923,117.96033,okay
84.70206,78.66895,109.93869,106.86134,98.21996,120.26963,okay
84.77755,79.13663,109.0319,105.93297,97.82178,119.87374,okay
84.90829,79.13703,109.81329,107.29683,98.69305,120.59721,okay
84.94576,79.08803,110.37906,108.08447,99.07957,120.96137,okay
84.79803,78.74982,110.859,108.31671,99.31972,120.72302,okay
84.81939,79.38148,109.76345,106.84963,98.66151,120.19263,okay
84.87659,78.63577,110.34753,107.32323,98.89449,120.28837,okay
85.0937,79.21879,110.75939,107.74666,99.15242,120.47549,okay
85.14251,79.47744,110.93177,107.75841,99.11083,120.75199,okay
85.24252,79.27318,110.989,107.94925,99.26614,121.26976,okay
86.38042,75.84412,113.53542,111.24836,100.91322,120.12056,okay
85.92042,76.02565,114.28515,111.37579,100.95705,120.07938,okay
86.19885,75.3493,113.71294,111.49192,100.988,120.04633,okay
86.55086,74.30145,113.41192,111.49485,101.06089,120.30945,okay
86.66129,74.67657,113.53336,111.29082,101.05623,120.78244,okay
86.77303,75.12069,113.63976,111.00481,101.07793,120.90192,okay
86.33341,75.23792,113.93548,111.47828,101.24555,120.88503,okay
88.76855,72.64434,114.29222,110.44028,101.1556,120.83708,okay
88.82999,71.53977,114.22731,111.23688,101.4238,120.83898,okay
88.82317,72.39185,114.13166,111.12363,101.37415,121.18148,okay
91.04823,76.71098,114.92728,112.60223,101.62542,128.50761,okay
91.2317,76.38289,114.35165,112.25408,101.53074,128.2722,okay
91.12647,76.54157,114.74754,112.48778,101.40361,128.60137,okay
91.22359,76.54829,115.3084,112.69003,101.63792,128.54744,okay
91.01475,76.28338,115.18209,112.77386,101.79716,128.44639,okay
90.94791,76.63365,115.11262,112.63585,101.75395,128.45343,okay
88.55382,73.08308,113.84574,110.71883,101.7536,127.49409,okay
87.98281,71.38036,111.96325,110.48454,101.52622,127.81467,okay
89.69741,74.72865,115.02927,112.33379,101.42683,128.42527,okay
89.47668,73.2346,113.14156,109.94334,101.18483,128.81,okay
84.57899,73.76981,109.38633,106.6122,99.92655,132.9297,okay
85.07079,74.40759,109.81417,106.33671,99.46683,132.46044,okay
84.72507,74.59108,109.40655,105.89648,99.09475,132.67371,okay
84.61224,74.89557,108.3626,105.92838,99.19281,132.67835,okay
84.19166,74.54424,107.27714,105.96519,99.51096,133.04407,okay
84.58709,75.2375,108.78317,105.59299,99.23072,132.51631,okay
84.71623,75.55215,109.11716,105.59043,99.15044,132.32828,okay
84.73568,75.58176,108.91506,105.44307,98.94024,132.37049,okay
84.48594,74.99205,107.99586,105.28083,98.94512,132.44162,okay
84.97092,74.71689,108.60239,106.04327,99.12969,133.16989,okay
85.37635,74.61518,114.90389,110.01839,98.10645,129.95384,okay
85.24406,75.26708,115.52895,110.80824,98.93289,129.99439,okay
85.08067,75.39273,115.85056,111.01226,98.99532,129.79329,okay
85.68511,75.42609,115.71026,110.46088,98.09464,129.53489,okay
86.12608,77.94344,115.9121,110.67629,98.47127,129.94175,okay
86.12586,78.07747,113.29086,110.70179,98.66211,130.08908,okay
86.04966,78.67356,113.14301,110.51687,98.72884,130.46933,okay
86.29051,78.72762,114.11056,110.63682,98.43761,130.55204,okay
86.77542,78.95985,114.60546,110.10445,98.08799,130.47701,okay
86.99848,78.7236,114.61597,110.32784,98.3195,130.73086,okay
79.90501,73.75542,109.60532,106.77517,100.69104,120.73038,okay
79.59164,72.31599,109.505,107.3193,100.43938,120.11856,okay
79.4453,70.84325,108.18254,106.88738,99.76173,120.00808,okay
79.88403,72.01553,108.73144,106.69798,100.06231,120.19666,okay
