thumb,index,middle,ring,pinky,palm_normal_angle,class
3234.3015,6341.48739,5649.53211,5397.48819,5274.80011,151.28462,zero
3210.45423,6337.89789,5647.02528,5405.21044,5285.05828,151.62076,zero
3243.60641,6344.7332,5623.99972,5399.75906,5311.69315,150.02975,zero
3181.89395,6306.72622,5639.99384,5427.84924,5307.2891,152.47203,zero
3150.52261,6372.74381,5661.41709,5463.81185,5359.87139,152.15897,zero
3216.72893,6401.40019,5697.17398,5474.47127,5382.50836,149.94768,zero
3233.59222,6373.00938,5695.72144,5468.94811,5325.5428,152.60387,zero
3225.92038,6365.55269,5705.84271,5481.44714,5311.20988,153.88819,zero
3287.6022,6389.9386,5708.41528,5461.4744,5289.62324,154.33874,zero
3295.32555,6410.50482,5712.19309,5463.57841,5290.72548,153.18513,zero
2419.38112,7679.23083,6288.69737,5731.66094,5635.11747,14.57152,zero
2398.40921,7674.34617,6314.2122,5719.5969,5643.03508,14.67622,zero
2513.61071,7690.51236,6321.13479,5750.71118,5578.83672,13.90981,zero
2494.41863,7697.83469,6232.36189,5792.64926,5613.47619,13.58091,zero
2506.64918,7692.91422,6238.55247,5847.21116,5614.51202,14.74382,zero
2407.9445,7655.94511,6493.39502,5862.4814,5633.32078,14.93186,zero
2428.32583,7662.08954,6479.86083,5838.66964,5633.66322,14.60157,zero
2486.21399,7661.67796,6448.35844,5865.87824,5632.40578,14.16994,zero
2513.48107,7632.91873,6556.27947,5854.05433,5622.04416,14.54561,zero
2447.36707,7668.24339,6593.22414,5849.79948,5595.31379,15.44885,zero
2797.83291,7173.2293,6973.2781,6799.63346,5815.62376,47.97601,zero
2793.94825,7170.41296,6953.03304,6773.001,5811.57675,48.37619,zero
2798.54922,7160.32304,6937.33462,6757.83153,5803.97657,48.42422,zero
2791.70359,7174.06694,6964.18085,6791.06733,5815.9623,48.40555,zero
2776.40758,7190.12329,6988.97839,6820.34261,5837.92992,48.63528,zero
2812.29361,7173.76263,6969.13572,6801.50797,5825.40836,48.56051,zero
2798.87556,7182.98751,6969.90336,6801.23574,5821.53359,48.3145,zero
2809.9269,7197.2306,6974.84952,6806.02036,5817.14891,47.6577,zero
2860.82037,7213.32549,6955.59829,6783.84083,5790.80611,47.96146,zero
2855.72533,7212.72246,6973.64735,6804.50947,5791.69171,48.27343,zero
3344.36482,6321.85871,6014.97983,5699.26117,5399.65819,141.62979,zero
3356.22252,6316.99387,6006.18535,5702.99715,5416.05776,140.99314,zero
3347.25067,6305.11007,5996.69761,5701.14787,5423.28717,140.88649,zero
3421.70023,6327.29523,6005.27481,5686.59571,5398.68221,140.87486,zero
3464.46946,6321.68297,6027.49262,5683.91955,5349.3543,142.84943,zero
3456.45198,6330.55322,6020.45271,5676.53732,5354.01987,142.76623,zero
3462.58934,6305.97529,5995.03755,5660.11713,5343.9991,142.74214,zero
3476.7211,6290.3825,5937.73422,5617.31991,5317.25721,142.65942,zero
3415.62518,6286.5694,5891.60598,5591.90848,5324.25518,142.29552,zero
3241.84903,6338.26378,5895.81121,5629.59977,5385.31662,140.068,zero
3449.55036,6146.03517,5895.6754,5394.02681,5239.92427,160.30808,zero
3466.48188,6136.55217,5899.51761,5401.00176,5237.03553,160.56151,zero
3427.64014,6153.10934,5924.94097,5412.797,5235.71999,160.71514,zero
3373.53703,6175.11617,5937.02848,5404.30251,5224.23113,160.75379,zero
3381.65892,6176.9086,5926.68309,5394.1617,5213.14833,160.82122,zero
3395.33325,6161.99681,5895.33368,5377.44322,5220.74564,160.68163,zero
3412.1173,6146.87815,5885.90889,5388.10474,5243.60697,160.51546,zero
3425.34462,6157.39918,5919.70311,5421.64148,5261.64039,160.90349,zero
3420.81932,6160.81537,5931.92425,5422.46698,5249.75448,161.38099,zero
3409.92593,6160.91469,5921.64794,5411.19525,5246.37461,161.55005,zero
3592.87544,6470.78271,6355.41928,6237.22076,6021.77336,62.95648,zero
3706.70268,6469.29888,6348.12064,6235.72715,6024.51995,63.04202,zero
3592.75721,6439.04188,6319.90076,6218.00629,6025.48932,63.25961,zero
3412.04219,6412.74967,6294.66406,6199.16573,6021.21505,63.38515,zero
3103.06443,6407.9008,6290.99666,6194.86858,6021.56897,63.43005,zero
2980.48653,6406.35264,6290.67232,6195.86878,6025.20885,63.58757,zero
2955.10829,6376.66423,6254.96944,6174.16837,6029.92277,63.66882,zero
3003.44733,6325.61507,6199.96556,6136.67274,6029.11767,63.73383,zero
3039.153,6344.36014,6219.53306,6152.29372,6029.84781,63.50433,zero
