thumb,index,middle,ring,pinky,palm_normal_angle,class
60.9614327576,164.50006548,172.541834586,170.576256407,171.491201228,151.28462,zero
60.4470990225,164.776770104,172.439941824,170.444160549,171.506268625,151.62076,zero
61.3033998388,165.321668935,172.797529548,170.31710537,171.030354704,150.02975,zero
59.7133727811,165.526397026,171.867927142,169.397160851,170.53229731,152.47203,zero
58.3011423778,164.496322536,171.874811972,169.549064258,170.094277278,152.15897,zero
59.6945897609,164.710476288,171.871547142,169.294188919,169.542507276,149.94768,zero
60.9367621143,166.059875781,171.751923209,168.367591796,168.90173991,152.60387,zero
60.6926238326,165.826474557,171.328260235,167.72868224,168.217969672,153.88819,zero
62.0038493985,165.709405114,171.693074299,168.197520085,168.229389748,154.33874,zero
62.303476137,166.374556256,172.398182048,169.226583707,168.982500066,153.18513,zero
39.1015386775,144.22829625,164.560321409,171.592178744,166.466353999,14.57152,zero
38.5854461687,143.863167997,164.218825611,171.42197043,166.355117538,14.67622,zero
40.6710683374,144.912476299,164.274368709,171.326402423,165.593401181,13.90981,zero
40.1729665469,144.259646818,164.717374779,170.979264889,165.49768291,13.58091,zero
40.5695614811,143.19167844,163.814068601,169.606055356,163.642357645,14.74382,zero
39.1258439056,140.756511095,160.772448759,166.443787054,162.595303306,14.93186,zero
39.7258145525,141.1979189,161.554628363,166.938183467,163.178847347,14.60157,zero
40.69318449,142.293891054,162.151955727,167.515443735,163.408000194,14.16994,zero
41.6400741052,141.977598654,160.556218631,166.688335147,163.054783791,14.54561,zero
40.4162408097,139.716901662,159.244043669,166.659101937,162.162091727,15.44885,zero
47.2693145285,141.850160985,141.215704713,138.767491707,143.492794159,47.97601,zero
47.1510190672,141.778403017,141.283760718,138.955786362,143.706278552,48.37619,zero
47.3134068147,142.322099736,141.792363924,139.494346778,144.145459716,48.42422,zero
47.1585254451,141.774291243,141.054785456,138.601272223,143.341109318,48.40555,zero
46.717957753,141.465512051,140.710735167,138.015310294,142.968358575,48.63528,zero
47.5477847561,142.189771651,141.473954165,138.83728258,143.636542321,48.56051,zero
47.5162941689,142.168516102,141.464610466,138.90916349,143.74338014,48.3145,zero
48.0620467741,142.432858083,141.711890635,139.207301248,143.856870563,47.6577,zero
49.0334670138,142.687924668,142.447283443,140.338845027,144.568371369,47.96146,zero
48.8733127381,142.832833961,142.530365864,140.221912189,144.355365089,48.27343,zero
58.1370334226,166.499698982,168.426017234,168.608314983,168.041996678,141.62979,zero
58.1527087067,166.63067469,168.365652022,168.477352936,167.942535463,140.99314,zero
57.9688400143,166.617956878,168.57175981,168.713445255,168.171087253,140.88649,zero
60.0274590301,167.018670416,168.204049746,168.293661828,167.900065347,140.87486,zero
61.9461889416,167.091234346,168.019211167,168.350079191,167.738681637,142.84943,zero
61.5707607636,166.468785546,167.954201426,168.278061676,167.650517556,142.76623,zero
61.7287771901,166.786443984,168.421031196,168.739358992,167.992914939,142.74214,zero
61.2906137247,167.326288476,168.989043388,169.021404824,168.18540333,142.65942,zero
59.5321746926,166.593422838,169.685886607,169.844524581,168.893898852,142.29552,zero
55.2250403266,165.272860404,170.185747172,170.261767177,169.60366479,140.068,zero
54.2370363876,154.420782643,158.100082605,161.701436449,157.345018853,160.30808,zero
54.8109771836,154.926858679,158.338183,161.726298337,157.446679388,160.56151,zero
54.0483626571,154.024577029,157.431420746,161.157261617,156.906110897,160.71514,zero
52.8496849483,152.66375746,156.518005888,160.546711007,155.982491736,160.75379,zero
52.9897311471,152.528915865,156.987581393,161.080722517,156.457408449,160.82122,zero
53.1252455153,153.20354731,157.929054668,161.888091859,157.284489716,160.68163,zero
53.5426588661,154.106225111,158.353701189,161.996131791,157.554008981,160.51546,zero
53.9196614026,154.326853881,157.703863331,161.301009779,157.319077794,160.90349,zero
53.7839387136,153.684775118,157.067207739,160.672591394,156.608205366,161.38099,zero
53.4165804042,153.479473292,157.129239517,160.722588379,156.423803919,161.55005,zero
54.0570677332,147.792903676,147.117889741,143.764485424,141.06322757,62.95648,zero
55.6134424488,147.847080736,147.272429601,143.939174342,141.172510596,63.04202,zero
53.8576432849,149.074670636,148.270771031,144.862889126,141.869285514,63.25961,zero
51.0487484793,149.937132283,148.922015908,145.574417252,142.5641753,63.38515,zero
46.1819006013,150.029531082,148.996697196,145.725473716,142.688266177,63.43005,zero
44.2385376126,150.080497953,149.033949048,145.693549412,142.541895223,63.58757,zero
43.8266498849,151.332212081,150.182295093,146.86944844,143.490567518,63.66882,zero
44.6999237212,153.302680676,151.839845401,148.686866155,145.083504236,63.73383,zero
45.3111641803,153.020798769,151.606813007,148.495976028,145.14033141,63.50433,zero
44.0694426193,153.119549644,151.545122738,148.335056771,144.726244361,63.95359,zero
37.6360293835,164.787998935,170.880609637,169.314242354,165.801885876,99.53385,zero
39.1000223755,164.961895551,171.005602099,169.37113783,165.883451995,99.53211,zero
40.0393304807,165.163413452,171.112672144,169.424304023,165.953434113,99.5571,zero
37.5969060599,164.854333732,170.871047372,169.273793974,165.827785953,99.18773,zero
36.4056561819,164.294790975,170.624600486,169.111372076,165.640187977,99.44902,zero
35.6837666583,163.731382331,170.646006299,169.110019698,165.70312134,99.6233,zero
35.5291824019,164.512728651,170.838781558,169.225668461,165.671319979,99.52916,zero
37.1997305597,165.246851043,171.014399382,169.327424619,165.498147363,99.3416,zero
38.1516301187,165.392825846,171.062046782,169.323285525,165.664052658,99.5391,zero
37.6753781033,164.486500724,170.873779448,169.148460003,165.771423232,100.11649,zero
50.7224396068,171.53929942,173.294603395,171.687446223,170.45033504,123.01348,zero
50.9857024182,171.839226687,174.11187651,171.946993411,170.242943176,121.58341,zero
51.2219347559,171.404416844,173.844160416,171.921339221,170.335451258,122.62709,zero
50.3851887713,170.821747066,173.511120392,171.182066866,170.03546935,120.7532,zero
50.6048442399,170.634914072,173.160799989,170.903094619,169.65131219,120.66382,zero
50.3907109792,170.458544927,172.736016864,170.805327292,169.563284712,121.5184,zero
50.4170891698,170.321244464,172.867265779,170.895963902,169.512358821,121.60161,zero
50.0150232541,170.454146285,172.87415061,170.810805103,169.68237589,121.38593,zero
52.0195813227,170.961998171,172.919585029,171.147478788,170.135695545,122.51831,zero
52.7448347144,171.352001972,173.113302854,171.431409752,170.337814503,122.82053,zero
66.8757413712,164.193321685,173.447244463,172.203385053,167.760128431,156.18158,zero
68.1691196529,162.3567931,173.013909941,172.320891627,167.692878389,155.77343,zero
68.0652529661,163.055944924,173.43053782,172.566901381,167.895352517,155.69269,zero
67.6222468966,163.136035722,173.138219384,172.24877849,167.390260027,155.66483,zero
67.3353448005,163.014362732,172.572993909,171.560500327,166.81554059,155.41423,zero
68.3717986863,163.685360516,172.427046427,171.146713807,166.21907383,154.91403,zero
69.0925612286,163.58297598,172.713873391,171.53317957,166.634841105,154.88783,zero
68.6037997218,163.109165758,173.020712809,171.932554392,167.20114575,155.17701,zero
69.0088572604,163.888517663,173.008213563,171.760529247,166.932746636,154.89888,zero
69.9582330644,164.742141045,172.662756255,171.320241593,166.344066292,154.57894,zero
60.7104847773,155.923178373,158.174039894,157.973013766,156.765299717,52.56483,zero
60.4386022672,155.978038453,158.163890232,157.859373078,156.970328335,52.79633,zero
59.9504349868,155.543269591,157.176641029,156.596498422,156.340024818,52.83444,zero
59.8599418105,155.601886275,157.025680188,156.323796289,156.300136514,53.1228,zero
60.3275638819,156.060150987,157.409468518,156.768264019,156.77768968,53.32967,zero
59.6740923632,155.65912326,156.720575638,155.726141076,156.326801572,53.1887,zero
59.0275398262,155.393114713,156.294399155,155.178318924,156.108795594,53.34368,zero
59.1552097222,156.097211593,156.607713592,155.363526333,156.22489515,53.48949,zero
59.3474590567,156.429500296,157.497974109,156.535299927,156.896931123,53.46683,zero
59.345123132,156.341705045,157.574813737,156.691793221,156.987554072,53.40962,zero
60.7873312357,168.196850727,175.127252432,173.738251502,167.150684312,119.67827,zero
61.0310870268,169.303505297,175.331502409,174.467278574,169.429522287,119.40888,zero
60.3010900686,169.147776984,174.949257703,174.336767319,170.088253051,119.6202,zero
59.9543418551,167.90054346,174.249900973,174.918781399,170.288090726,120.01058,zero
60.9912260428,165.908669053,174.237005576,175.88757543,169.696241174,120.9167,zero
61.4239936588,164.984189289,174.975471969,177.234734622,171.00276074,120.7025,zero
61.4307828668,165.713052435,176.616329294,177.824166287,171.769586078,120.81243,zero
60.9932341184,165.425392188,176.579828763,176.944820412,171.266214797,120.92794,zero
60.1550128129,165.065099709,175.794384329,176.286116969,170.887139298,120.89062,zero
59.2741506364,166.315857611,175.353290713,175.827906898,170.086422561,120.12183,zero
29.1064345065,158.028912034,159.845414504,177.803484474,174.152625419,138.90918,zero
30.0583682164,154.702705531,159.897009753,177.529949058,173.873721474,138.44176,zero
32.5186023554,160.033681838,173.536460394,178.004333017,173.789710148,137.8948,zero
36.9151097468,162.61496059,173.432395631,177.612635328,173.10667757,137.93883,zero
30.8356266685,167.939229652,167.113186574,177.405270785,173.203843841,139.6798,zero
30.0637743111,168.519795731,168.039442187,177.199422544,173.406468233,139.6903,zero
31.1092679523,159.216763893,169.118625737,176.909521994,173.302239547,138.43886,zero
35.0134689686,161.904661897,173.355474041,176.450396678,171.928797788,137.13095,zero
33.6016688672,165.059171105,172.29790121,175.941315359,171.02913893,138.02207,zero
31.2050032988,161.376278463,161.290409325,176.374472296,172.729432562,139.46092,zero
56.1949852453,159.424866097,162.58355538,163.493814691,164.630959225,14.49515,zero
55.5672225587,159.113300187,162.859781891,163.582129037,164.711828665,14.78294,zero
57.3850500855,159.251802763,162.958587407,163.344752642,164.738329799,14.62096,zero
57.4249110695,159.200098231,162.87383842,163.045125904,164.505393028,14.70203,zero
58.3393436258,159.570376447,163.193942066,163.399489778,165.041590198,14.45466,zero
57.3118850991,159.396985264,162.54418617,162.889793742,164.496554763,14.9208,zero
56.9816556981,158.97403263,162.278409849,162.544363755,164.020722804,14.3832,zero
56.3627483517,161.928280692,163.775901504,162.76840762,164.331592034,11.59892,zero
52.6373036312,161.466327677,163.103728927,162.13294048,163.510152503,10.04878,zero
50.4475074172,158.688708308,160.997189304,160.405380733,162.54346217,10.27016,zero
50.3234575215,158.289306166,172.224790865,171.722389471,167.183537522,78.94103,zero
50.0777209756,158.734497896,172.646773613,172.07657576,167.295142813,79.25138,zero
49.9787788553,159.057552183,172.168045654,171.528398438,166.832698025,79.1295,zero
49.1938535158,158.90939172,172.971494466,172.334743251,167.772955527,79.2333,zero
48.9854405386,158.334685943,173.249250939,172.52682183,167.863797043,79.53645,zero
49.4656984599,158.490441577,172.922658614,172.142145576,167.332763495,79.44957,zero
49.7545334995,158.996107802,172.130315689,171.59958267,167.061140532,78.88205,zero
50.1352243382,158.478679991,172.130397651,171.793423438,166.968086035,79.01985,zero
50.3607605997,158.809124543,172.504637376,172.163004974,167.15422235,79.14115,zero
50.0289500098,158.465005952,172.43942273,172.170955314,167.18128356,79.26826,zero
49.3087646184,163.038159111,176.982400113,175.870322373,173.700453236,103.90068,zero
48.7360191056,161.42310624,176.824049007,175.713760776,173.548727413,103.86941,zero
49.1545252866,163.094999945,176.977086226,175.954456643,173.761460485,104.06961,zero
49.1446078519,163.178833687,177.051644571,176.071457783,173.927980497,104.32367,zero
49.342328168,164.484670234,176.893156861,176.052661103,173.861864266,104.59059,zero
49.3054349012,164.285857087,177.065018081,176.267921345,173.993290766,104.58697,zero
47.5948891557,159.040886522,177.421622258,176.223019681,173.924811289,104.03765,zero
47.0632579665,155.364304975,177.263899529,175.992336872,173.753291579,103.82755,zero
47.2185389022,154.262253952,177.309211004,176.120198013,173.953962537,104.06066,zero
47.228207035,155.691184168,177.23360081,176.035722234,173.80786479,104.16349,zero
42.5660735868,160.430693414,171.642312333,170.20194838,167.478915883,65.50516,zero
42.9205569896,160.495484589,171.620250822,170.727900267,168.006507015,64.75316,zero
43.8018699586,160.840532085,171.498714436,170.709991511,167.65718382,64.32669,zero
43.4877905398,159.560691238,170.729471211,169.856532054,166.704754922,64.32606,zero
43.3137197537,159.455041872,170.490387269,169.574718449,166.486639661,64.42451,zero
43.2735206754,159.571687843,170.82801718,170.010907989,166.768494247,64.78852,zero
43.02852862,159.440343305,170.762556647,170.11348377,167.122653216,64.40875,zero
43.9047018717,160.242726608,171.713551206,171.014740892,167.949433954,63.78516,zero
43.2569438062,159.634812451,171.218075623,170.514525158,167.563610229,64.28402,zero
42.8779536847,160.703545811,171.363162502,170.558347651,167.65248465,65.03985,zero
65.3149133723,151.44445941,158.457151235,165.923613507,172.317094042,102.46778,zero
65.2325276305,150.972711904,158.09448185,165.605435975,171.960039073,102.31821,zero
66.1698413205,150.371054201,157.106932119,164.273139275,171.320104989,101.97648,zero
