thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
30.05372,13.0225,14.31784,14.71713,151.28462,zero
30.26126,12.99264,14.34927,14.76384,151.62076,zero
30.1366,13.24563,14.52324,15.01409,150.02975,zero
31.28739,12.66938,14.17629,14.7628,152.47203,zero
30.39336,13.12088,14.40308,14.6716,152.15897,zero
29.87356,13.04361,14.38394,14.97449,149.94768,zero
31.69445,12.39538,14.00898,15.07511,152.60387,zero
31.882,12.20915,13.80197,15.00376,153.88819,zero
31.53748,12.27462,13.85578,14.81524,154.33874,zero
31.74215,12.36204,14.10196,14.60002,153.18513,zero
24.9749,22.48419,16.99956,13.75617,14.57152,zero
24.44423,22.50021,17.03092,13.8359,14.67622,zero
24.86443,22.16196,17.23222,13.43578,13.90981,zero
24.3508,23.05926,16.30247,13.86707,13.58091,zero
22.96321,23.37786,16.11785,13.45908,14.74382,zero
23.0787,22.37632,15.85583,14.44016,14.93186,zero
23.72608,22.43171,15.75249,14.5848,14.60157,zero
24.13375,22.28389,15.73978,14.37593,14.16994,zero
23.83737,21.1315,15.86751,14.56928,14.54561,zero
22.84157,21.25139,16.60633,14.06422,15.44885,zero
37.52692,10.132,12.19283,15.33493,47.97601,zero
37.20099,10.08579,12.35414,15.29378,48.37619,zero
37.07483,10.02554,12.37462,15.3154,48.42422,zero
37.19697,10.10195,12.25356,15.2929,48.40555,zero
36.95229,10.05216,12.15069,15.42368,48.63528,zero
37.14099,10.06699,12.25958,15.44847,48.56051,zero
37.28652,10.08669,12.36211,15.43905,48.3145,zero
38.19218,10.36113,12.36553,15.32057,47.6577,zero
38.9367,10.69048,12.41344,15.14955,47.96146,zero
38.86798,10.72437,12.30947,15.04832,48.27343,zero
37.39308,11.22476,12.78366,13.59799,141.62979,zero
37.48176,11.32601,12.79518,13.61597,140.99314,zero
37.52087,11.37993,12.78023,13.60471,140.88649,zero
37.19973,11.23927,12.80897,13.60703,140.87486,zero
37.11819,10.71707,12.65717,13.52491,142.84943,zero
36.64595,11.00139,12.72991,13.51591,142.76623,zero
36.68565,10.92738,12.70813,13.49483,142.74214,zero
36.7645,11.06771,12.71857,13.48318,142.65942,zero
36.37671,11.63373,12.8643,13.5156,142.29552,zero
36.96466,12.46302,12.9408,13.65717,140.068,zero
28.02459,10.20309,14.76312,13.60276,160.30808,zero
28.07898,10.23603,14.65857,13.53152,160.56151,zero
27.80415,10.14538,14.78009,13.53947,160.71514,zero
27.24475,10.03026,14.95006,13.63028,160.75379,zero
27.06307,10.09857,14.95967,13.54298,160.82122,zero
27.47271,10.24593,14.92422,13.56117,160.68163,zero
28.01989,10.27172,14.80798,13.60655,160.51546,zero
28.07387,10.14642,14.81133,13.57092,160.90349,zero
27.64952,10.11342,14.81712,13.56254,161.38099,zero
27.58651,10.17445,14.85801,13.62518,161.55005,zero
32.58866,11.32634,16.27438,15.29707,62.95648,zero
32.7528,11.3587,16.28779,15.29623,63.04202,zero
33.43107,11.32081,16.21897,15.17235,63.25961,zero
33.92577,11.32872,16.15963,15.10855,63.38515,zero
34.52036,11.37136,16.15451,15.12366,63.43005,zero
34.90162,11.35587,16.16484,15.13275,63.58757,zero
35.48982,11.3823,16.11939,15.04016,63.66882,zero
35.86451,11.38702,16.02386,14.87672,63.73383,zero
35.46201,11.29067,16.08451,14.95403,63.50433,zero
35.32571,11.32769,16.42107,14.98508,63.95359,zero
38.50383,15.8157,12.54572,14.85402,99.53385,zero
38.23572,15.76744,12.54683,14.82254,99.53211,zero
38.15276,15.77624,12.51718,14.85226,99.5571,zero
38.63805,15.85125,12.56501,14.86853,99.18773,zero
38.53462,15.94205,12.67201,14.8399,99.44902,zero
38.21158,16.13558,12.79298,14.83645,99.6233,zero
38.86794,15.86054,12.67413,14.86862,99.52916,zero
38.98492,15.65222,12.56751,14.93222,99.3416,zero
38.90952,15.63857,12.53609,14.93115,99.5391,zero
38.27863,15.87435,12.65348,14.86029,100.11649,zero
38.57435,13.04953,14.6962,13.92591,123.01348,zero
38.21706,13.26593,14.5719,13.83873,121.58341,zero
37.93843,13.73942,14.52899,13.70302,122.62709,zero
38.19492,13.60933,14.42661,13.83363,120.7532,zero
37.90825,13.55568,14.35838,13.85487,120.66382,zero
37.83191,13.44157,14.45242,13.81866,121.5184,zero
37.7433,13.55894,14.48199,13.76822,121.60161,zero
37.90569,13.46057,14.5519,13.84064,121.38593,zero
37.74792,13.06064,14.81175,13.99428,122.51831,zero
37.60882,13.1396,14.74041,13.97102,122.82053,zero
33.82913,11.94611,13.77515,13.02799,156.18158,zero
31.85441,11.95199,13.94047,13.27701,155.77343,zero
32.4155,11.91733,13.89631,13.22249,155.69269,zero
32.52379,11.83407,13.90646,13.16787,155.66483,zero
32.42812,11.73472,13.88457,13.1032,155.41423,zero
32.95466,11.59696,13.81692,13.15952,154.91403,zero
32.40143,11.63394,13.85221,13.22191,154.88783,zero
31.83289,11.75119,13.91325,13.27277,155.17701,zero
32.38375,11.69023,13.85989,13.25637,154.89888,zero
33.17059,11.62309,13.85815,13.14044,154.57894,zero
37.42272,10.06978,13.99885,15.04667,52.56483,zero
37.45299,10.03159,13.89809,15.24363,52.79633,zero
37.56563,9.61993,13.74559,15.57009,52.83444,zero
37.60235,9.60058,13.69404,15.76107,53.1228,zero
37.62954,9.69039,13.81438,15.7951,53.32967,zero
37.74701,9.41055,13.61191,16.18804,53.1887,zero
37.6676,9.41549,13.51037,16.3642,53.34368,zero
37.71796,9.34752,13.44275,16.37262,53.48949,zero
37.4808,9.67122,13.6196,16.08609,53.46683,zero
37.58841,9.58413,13.73494,16.01499,53.40962,zero
36.69485,7.00144,14.51629,14.60793,119.67827,zero
37.77929,6.74271,14.37564,14.65364,119.40888,zero
38.60431,7.12601,14.64205,14.39511,119.6202,zero
39.01345,8.01147,15.18682,13.74193,120.01058,zero
39.15064,9.05905,15.19229,13.01366,120.9167,zero
39.37483,9.85964,15.18485,12.91349,120.7025,zero
38.97671,10.03928,15.20018,13.13434,120.81243,zero
38.80576,9.87469,15.08907,13.33518,120.92794,zero
38.76918,9.66277,15.22159,13.46837,120.89062,zero
38.40555,8.89713,15.13747,13.9476,120.12183,zero
42.34274,15.40538,19.79999,15.34811,138.90918,zero
41.23885,15.94429,19.71716,15.36458,138.44176,zero
40.60878,17.021,16.38226,15.45295,137.8948,zero
39.94334,16.11111,16.51746,15.38189,137.93883,zero
44.26134,15.50491,17.84299,14.97954,139.6798,zero
43.55722,15.06092,17.50884,15.42302,139.6903,zero
42.00326,16.98439,17.22006,15.28917,138.43886,zero
40.20512,16.15621,16.44879,15.31108,137.13095,zero
42.32957,16.13845,16.60588,15.08021,138.02207,zero
42.89325,14.98513,19.27123,15.15281,139.46092,zero
38.62312,13.70875,14.72343,15.49759,14.49515,zero
