thumb,index,middle,ring,pinky,palm_normal_angle,class
53.05488,38.55006,32.74297,31.64267,30.75843,151.28462,zero
53.1118,38.46354,32.74778,31.7125,30.81554,151.62076,zero
52.91071,38.37811,32.54676,31.70415,31.05702,150.02975,zero
53.28612,38.10103,32.81586,32.04215,31.1219,152.47203,zero
54.03878,38.74095,32.93919,32.22555,31.51118,152.15897,zero
53.88644,38.86456,33.14786,32.33703,31.74725,149.94768,zero
53.06472,38.37778,33.16249,32.48219,31.53042,152.60387,zero
53.15177,38.38683,33.30357,32.68044,31.57338,153.88819,zero
53.02255,38.56111,33.24779,32.4706,31.44292,154.33874,zero
52.89152,38.53056,33.13372,32.28558,31.30931,153.18513,zero
61.87432,53.24358,38.21515,33.40281,33.85139,14.57152,zero
62.15839,53.34476,38.44999,33.3656,33.92162,14.67622,zero
61.80341,53.07005,38.47913,33.56582,33.68997,13.90981,zero
62.09197,53.36097,37.8367,33.87925,33.91876,13.58091,zero
61.78645,53.72459,38.08313,34.47525,34.30965,14.74382,zero
61.54358,54.39141,40.38873,35.22199,34.64627,14.93186,zero
61.12715,54.26489,40.10941,34.97504,34.52447,14.60157,zero
61.09657,53.84404,39.76738,35.01694,34.46836,14.16994,zero
60.36207,53.76143,40.83479,35.11976,34.47948,14.54561,zero
60.55405,54.88415,41.40327,35.10039,34.50445,15.44885,zero
59.1892,50.56906,49.38033,49.00019,40.52903,47.97601,zero
59.25531,50.57479,49.21325,48.74213,40.44066,48.37619,zero
59.14918,50.31069,48.92601,48.4452,40.26472,48.42422,zero
59.19828,50.60203,49.37217,48.99715,40.57428,48.40555,zero
59.42913,50.82598,49.66912,49.41729,40.83372,48.63528,zero
59.14668,50.45203,49.26091,48.98906,40.55659,48.56051,zero
58.90349,50.52446,49.26959,48.96175,40.49949,48.3145,zero
58.46457,50.53069,49.21852,48.89126,40.43706,47.6577,zero
58.34424,50.55316,48.82928,48.33901,40.05583,47.96146,zero
58.43118,50.49765,48.92745,48.52672,40.12107,48.27343,zero
57.52555,37.96919,35.71289,33.80178,32.13279,141.62979,zero
57.71395,37.91015,35.67346,33.85023,32.24947,140.99314,zero
57.74224,37.84172,35.57356,33.7919,32.24863,140.88649,zero
57.00225,37.88376,35.70232,33.78972,32.15414,140.87486,zero
55.92708,37.83372,35.87383,33.7625,31.891,142.84943,zero
56.13788,38.02847,35.8458,33.73308,31.9356,142.76623,zero
56.0936,37.80868,35.59554,33.54355,31.81086,142.74214,zero
56.72518,37.59351,35.1368,33.23437,31.61545,142.65942,zero
57.37444,37.736,34.72066,32.92369,31.52426,142.29552,zero
58.70252,38.3503,34.64339,33.06438,31.75236,140.068,zero
63.60138,39.80057,37.29078,33.35794,33.30213,160.30808,zero
63.2443,39.60935,37.25897,33.39594,33.26228,160.56151,zero
63.41802,39.94888,37.63506,33.58705,33.36849,160.71514,zero
63.83268,40.44913,37.93192,33.66187,33.49242,160.75379,zero
63.81725,40.49664,37.75256,33.48732,33.31992,160.82122,zero
63.91186,40.22098,37.329,33.21704,33.19301,160.68163,zero
63.72708,39.88728,37.16938,33.2607,33.28133,160.51546,zero
63.52682,39.89843,37.53683,33.61195,33.44566,160.90349,zero
63.60299,40.08735,37.76679,33.74855,33.52158,161.38099,zero
63.83647,40.14162,37.68648,33.66792,33.53949,161.55005,zero
66.46449,43.78277,43.1995,43.38499,42.68847,62.95648,zero
66.6512,43.75669,43.10461,43.32196,42.67488,63.04202,zero
66.7084,43.1934,42.62405,42.92339,42.47212,63.25961,zero
66.8389,42.76959,42.26819,42.58417,42.23512,63.38515,zero
67.19222,42.71093,42.22239,42.51054,42.20087,63.43005,zero
67.37308,42.68611,42.20966,42.52672,42.26974,63.58757,zero
67.4272,42.13686,41.64918,42.03848,42.02313,63.66882,zero
67.19133,41.26226,40.83227,41.27246,41.55619,63.73383,zero
67.07294,41.46077,41.0241,41.43071,41.54495,63.50433,zero
67.14555,41.54293,41.20492,41.65017,41.77488,63.95359,zero
63.69583,38.17183,34.12663,34.59067,34.4761,99.53385,zero
63.1816,38.08232,34.05574,34.56475,34.46416,99.53211,zero
63.02662,38.09219,34.02514,34.50605,34.41582,99.5571,zero
64.11343,38.24615,34.12497,34.55157,34.53401,99.18773,zero
64.41268,38.49055,34.22705,34.58328,34.57821,99.44902,zero
64.59741,38.71292,34.14203,34.56695,34.67355,99.6233,zero
64.50265,38.32967,34.1295,34.63766,34.6454,99.52916,zero
63.7697,38.0222,34.12518,34.68805,34.58748,99.3416,zero
63.67812,38.02096,34.09424,34.66812,34.5427,99.5391,zero
63.7304,38.4193,34.12844,34.64366,34.56207,100.11649,zero
57.26713,34.57401,32.7616,33.31102,35.13648,123.01348,zero
56.46166,34.23667,31.94317,33.09441,35.22178,121.58341,zero
56.7636,34.23526,31.847,33.00141,35.27485,122.62709,zero
56.87644,34.69213,31.84331,33.2803,35.33518,120.7532,zero
56.72263,34.72711,32.05439,33.3849,35.30885,120.66382,zero
57.0211,34.71825,32.47576,33.49628,35.34776,121.5184,zero
57.06912,34.80344,32.29685,33.34883,35.28857,121.60161,zero
57.18854,34.82117,32.34623,33.42751,35.27663,121.38593,zero
57.0737,34.64029,32.67324,33.26779,35.16461,122.51831,zero
56.81192,34.50783,32.62721,33.19143,35.09227,122.82053,zero
48.29802,33.91345,29.71824,31.07422,31.77754,156.18158,zero
47.55276,34.59072,29.04096,30.21571,31.36484,155.77343,zero
47.84712,34.40223,29.22425,30.37223,31.43565,155.69269,zero
48.06423,34.37696,29.45598,30.59513,31.60193,155.66483,zero
48.15833,34.39179,29.63113,30.85361,31.68618,155.41423,zero
47.93158,34.35267,29.75044,31.01521,31.85083,154.91403,zero
47.66993,34.38729,29.4353,30.66582,31.70275,154.88783,zero
47.80587,34.39428,29.28031,30.46177,31.56902,155.17701,zero
47.76467,34.14777,29.31579,30.5738,31.67268,154.89888,zero
47.2,33.8791,29.08176,30.52245,31.60453,154.57894,zero
53.26066,41.95304,40.73369,38.65131,34.62396,52.56483,zero
53.30617,41.90825,40.77091,38.76163,34.64999,52.79633,zero
53.36712,42.13521,41.42342,39.4699,35.00455,52.83444,zero
53.23444,42.14913,41.55024,39.63936,35.05303,53.1228,zero
53.07088,42.00364,41.35641,39.50285,35.02174,53.32967,zero
53.19605,42.30594,41.83571,40.10525,35.18814,53.1887,zero
53.61094,42.47876,42.10792,40.42849,35.23539,53.34368,zero
53.39509,42.0743,41.93729,40.24875,35.19576,53.48949,zero
53.53254,41.87684,41.41351,39.67764,34.88523,53.46683,zero
53.62337,41.83591,41.31348,39.53148,34.86456,53.40962,zero
51.06651,35.87118,31.99885,30.43472,31.5197,119.67827,zero
51.04199,35.5154,31.95239,30.58164,31.81563,119.40888,zero
50.88472,35.65568,31.7658,30.23206,31.84075,119.6202,zero
50.17477,35.92358,31.32643,29.49351,31.34027,120.01058,zero
49.45425,36.17432,31.00893,29.09635,31.15214,120.9167,zero
49.14801,36.1553,31.31062,29.06166,30.92814,120.7025,zero
49.26117,36.06317,31.96023,29.10962,30.9108,120.81243,zero
49.5008,36.28509,31.95973,29.12034,31.1499,120.92794,zero
49.78333,36.40114,32.09015,29.04317,31.36254,120.89062,zero
50.62228,36.14188,32.24544,29.15527,31.26694,120.12183,zero
70.35706,33.96677,27.86716,28.54988,33.80542,138.90918,zero
70.10983,34.91455,28.22739,28.7127,33.82118,138.44176,zero
68.2244,34.75719,28.55178,28.61239,33.60144,137.8948,zero
67.37571,35.12405,29.17954,28.76438,33.64883,137.93883,zero
70.48217,33.206,27.55375,28.28373,33.50143,139.6798,zero
69.7718,32.52395,27.97247,28.56397,33.57359,139.6903,zero
69.70491,33.7927,28.16609,29.05482,34.12164,138.43886,zero
68.08022,34.89391,29.49784,29.29725,34.01734,137.13095,zero
69.55235,34.24327,29.09598,29.24826,33.956,138.02207,zero
70.15292,33.29102,28.17586,28.84794,34.13393,139.46092,zero
57.43242,43.37835,39.95037,36.55512,34.8947,14.49515,zero
57.22993,43.50167,39.8114,36.50002,34.89941,14.78294,zero
56.58595,43.48006,39.81771,36.55731,34.78639,14.62096,zero
56.37272,43.52169,39.89568,36.65752,34.79199,14.70203,zero
56.00868,43.3287,39.74861,36.45782,34.61685,14.45466,zero
56.24076,43.49176,40.18745,36.91216,35.05261,14.9208,zero
55.9726,43.81266,40.32708,36.96135,34.91015,14.3832,zero
56.65401,42.45883,39.56755,36.99313,35.18019,11.59892,zero
