thumb,index,middle,ring,pinky,palm_normal_angle,class
44.2793411627,134.500003174,10.6323787498,9.90095257462,19.0020080352,138.48252,okay
43.9630385174,135.718782129,10.4547963927,10.0320725699,18.5948638738,138.42878,okay
42.4982873744,135.528479398,10.7697287314,10.6812248477,18.1154016696,138.27376,okay
41.5900532148,133.268533727,8.90406255959,9.30869235753,16.0390207468,137.38402,okay
43.0401706775,131.773296034,8.67065535886,8.4149860103,15.4498554592,137.67585,okay
43.320409924,133.107860357,8.8284387051,8.95477671418,15.3861280867,138.31136,okay
42.7115907671,132.537676165,8.22776711006,8.95911986072,15.7626576326,137.61245,okay
42.744949411,131.988638238,8.08325311382,9.03359282833,16.152726321,137.25331,okay
43.6945471962,131.934065027,9.63979858415,8.74134269413,16.1238175453,137.85156,okay
43.3246856224,132.435223327,10.2547461283,8.43444948811,15.8126272966,138.02109,okay
35.7878075148,110.167420105,20.5040229827,10.3247393456,11.1248242899,142.77349,okay
35.6859728094,111.3667057,20.8644571878,10.1510015313,10.9248662331,142.97,okay
35.6170391252,112.320179618,20.7019755252,10.0858227436,10.7392934084,142.54875,okay
35.8256911591,112.455007552,17.692993743,11.2548044974,11.3610805333,143.21696,okay
36.8291449859,112.955114003,11.5743181854,13.9131448582,12.5184313287,142.71755,okay
36.0249414375,113.146448092,10.7435810597,13.9996748172,13.4536968157,141.9804,okay
35.3551594272,114.212394735,12.8974769456,13.9811137782,13.6162373887,141.18886,okay
34.9790277398,115.085859816,16.4883293734,12.4602227491,13.3980401655,140.84682,okay
34.8903787145,114.87476599,16.9198214516,11.4021632674,13.165416729,140.88649,okay
35.3847648821,114.775168171,17.2922477614,11.1308049743,12.6793505856,140.59149,okay
20.8427371863,144.592481937,12.6724247738,3.94267931395,4.13796338695,145.5314,okay
19.9818994169,144.575365482,12.406149849,4.23715865115,4.23812939179,145.58138,okay
19.9488549617,144.192355795,12.6615229381,4.18376023222,4.21765461909,145.58233,okay
20.9708049408,144.508279364,12.5318483816,4.09959223796,4.29231285558,145.66266,okay
21.0436062196,144.248336025,12.5060891769,4.5999381725,4.68052544008,145.35723,okay
21.2171032698,144.277555574,12.4626449049,4.64582765221,4.65972068387,145.29782,okay
20.5137423419,143.95316257,12.5016247945,4.60198167972,4.7765549116,145.22799,okay
21.0789012221,144.593793333,12.3420049811,4.53042904486,4.79023364608,145.38816,okay
21.4560745134,143.746945498,12.756200459,4.69515058264,5.23176866365,145.20486,okay
25.6534255414,142.259193693,13.0921501435,4.60564095357,5.53176380549,144.91898,okay
31.7125990522,112.456346269,35.170361829,27.1403167426,53.843747265,52.25118,okay
31.909441689,112.120540018,35.8440233868,26.360061545,52.3197681367,52.85223,okay
31.2350732066,111.978567706,34.9851578345,26.9218804627,49.3787467367,52.76415,okay
31.5732324573,112.745372554,35.5484401203,26.7936897648,54.8715370559,52.82023,okay
32.0299091505,113.713101076,36.3459022719,27.6295956362,62.1554864283,52.98668,okay
31.8438957786,113.527545327,36.7663106606,28.1519497209,62.6832961266,52.92637,okay
