thumb-index,index-middle,middle-ring,ring-pinky,palm_normal_angle,class
29.28244,86.38518,38.1896,41.36199,138.48252,okay
29.12943,87.28364,38.36254,41.32681,138.42878,okay
29.32697,90.60249,38.64286,41.59708,138.27376,okay
27.94785,88.23119,38.45159,41.43991,137.38402,okay
27.72219,85.85876,37.95604,41.1976,137.67585,okay
28.04668,86.69401,37.95992,41.26439,138.31136,okay
27.56554,86.98849,38.11864,41.18209,137.61245,okay
27.9403,86.47577,38.03902,41.09252,137.25331,okay
29.13049,84.612,37.74076,40.91588,137.85156,okay
29.78393,84.26925,37.6223,40.82827,138.02109,okay
6.48532,83.06441,34.60917,34.27271,142.77349,okay
6.91823,83.06422,34.48668,34.17871,142.97,okay
7.88908,83.71128,34.23634,34.13854,142.54875,okay
8.34362,85.98533,33.14823,34.69043,143.21696,okay
8.1338,87.40224,32.96679,35.91999,142.71755,okay
8.18857,87.79448,33.37745,36.35657,141.9804,okay
9.01876,88.24123,33.55659,36.40336,141.18886,okay
9.5915,87.80667,34.1895,35.88484,140.84682,okay
9.53491,86.94138,34.60209,35.58445,140.88649,okay
9.48562,86.15215,34.91029,35.51871,140.59149,okay
41.47783,85.4989,37.04071,38.29371,145.5314,okay
41.7968,85.50292,37.03283,38.38349,145.58138,okay
41.80189,85.6461,37.05178,38.37916,145.58233,okay
41.51586,86.20588,37.01016,38.3455,145.66266,okay
41.11102,86.08981,37.05502,38.48352,145.35723,okay
41.07325,86.01591,36.98696,38.55707,145.29782,okay
41.36238,86.27228,37.0174,38.58178,145.22799,okay
41.50797,86.88837,36.88378,38.55821,145.38816,okay
41.26104,86.90994,36.98451,38.64616,145.20486,okay
39.81664,84.82847,36.66249,38.584,144.91898,okay
13.09014,79.65981,29.20886,35.76569,52.25118,okay
12.89291,79.01039,29.80701,35.09951,52.85223,okay
13.26586,80.35076,29.19785,33.91339,52.76415,okay
13.93394,80.58521,29.49662,35.4839,52.82023,okay
14.15298,79.92374,29.31568,39.9596,52.98668,okay
13.6998,79.08768,29.18213,40.5875,52.92637,okay
13.49749,78.00019,29.7794,40.16683,53.02694,okay
13.39264,77.41788,29.86566,39.22775,53.15507,okay
13.04898,76.61156,30.04999,38.34371,53.29188,okay
11.84588,73.60205,31.46259,34.37304,53.28267,okay
17.91087,67.63455,29.53352,40.31416,163.02029,okay
18.40835,65.93321,29.85697,40.05853,162.57462,okay
18.40751,65.2506,30.44636,38.96855,162.49513,okay
18.10956,64.8557,29.98696,37.68016,162.7305,okay
18.07197,64.98468,29.36792,36.99069,162.807,okay
17.9456,65.2624,29.64095,37.42264,162.86645,okay
17.93695,65.3854,29.90246,37.82007,162.694,okay
17.69423,64.62391,29.78277,37.32298,162.7535,okay
17.47163,64.35422,29.95894,36.9225,162.96031,okay
17.24864,64.60899,30.46495,37.09879,163.35844,okay
19.1649,91.01973,33.05014,39.57417,117.87136,okay
19.54019,92.00443,33.16125,39.8955,118.28722,okay
19.5093,91.88102,32.88774,39.62847,117.93826,okay
19.63064,91.94226,32.93457,39.61413,117.94026,okay
19.72649,92.17005,32.80576,39.69312,118.03436,okay
19.81694,92.27491,32.78036,39.67494,118.18816,okay
19.94995,92.01723,32.72299,39.34119,118.1258,okay
19.71838,91.10576,32.72214,39.28991,118.36391,okay
19.58076,90.9688,32.88023,39.23859,118.37169,okay
19.67698,91.3556,32.75453,39.18517,118.57564,okay
13.4832,82.77526,32.28093,37.69491,103.38602,okay
13.68423,83.31171,32.30821,37.7341,103.56338,okay
13.72688,83.74074,32.25131,37.77432,103.70665,okay
13.16136,82.31122,32.08876,37.64987,103.55913,okay
12.63629,81.63382,32.09253,37.65694,103.77801,okay
12.54447,81.73671,32.19117,37.69207,103.77207,okay
12.64795,81.8628,32.08987,37.59324,103.77094,okay
12.45996,81.53996,32.01292,37.49001,103.81685,okay
12.51622,81.66936,32.06057,37.50907,103.93384,okay
12.60575,81.83408,32.07634,37.51425,104.11563,okay
12.86139,64.47934,41.56848,37.68307,59.88676,okay
14.03298,64.12927,41.00555,37.67423,59.77362,okay
14.83462,64.95049,40.41981,37.59843,60.04884,okay
14.87907,65.23551,40.10984,37.87395,60.04831,okay
14.99957,65.26105,40.12338,38.06347,59.9643,okay
14.34685,65.94308,39.99944,38.00518,59.79079,okay
13.21629,65.98749,40.32753,38.20761,59.5763,okay
11.80124,66.07735,40.80953,38.31544,59.59487,okay
10.91194,66.18981,41.50663,38.29067,59.58225,okay
10.98067,65.23141,42.14429,38.10472,59.57377,okay
9.33219,86.39085,29.94248,35.19891,27.64363,okay
8.29036,87.54565,30.42505,35.31585,27.58297,okay
8.35464,87.49322,30.28857,35.23258,27.726,okay
9.36486,86.92564,30.14153,35.33916,27.72948,okay
9.44327,86.69396,30.17762,35.3997,27.76322,okay
9.61781,86.81427,30.3245,35.43328,28.11164,okay
10.32184,86.25479,30.32171,35.40502,28.11156,okay
9.9109,86.55513,30.35972,35.39627,28.35135,okay
10.52016,86.5834,30.41787,35.48951,28.76071,okay
10.79554,86.9554,30.31452,35.65432,28.9379,okay
10.2616,58.34091,23.99294,30.63542,27.66764,okay
10.16643,58.24267,24.04599,30.64212,27.50155,okay
10.29778,58.79932,24.36366,30.80789,27.96927,okay
10.21212,59.22107,24.2864,30.89836,27.98407,okay
10.04768,59.35385,24.22711,30.92437,28.22156,okay
10.17375,59.42996,24.31652,30.93021,28.18585,okay
10.18779,59.57959,24.34531,30.92842,28.57631,okay
9.66074,59.95191,24.40885,31.01317,28.94613,okay
9.79124,59.98522,24.43144,31.02065,28.97562,okay
10.01314,60.03556,24.28529,30.89702,28.94065,okay
22.08333,67.25518,35.57466,32.98039,24.85542,okay
22.48052,63.953,35.95569,32.94978,25.8174,okay
22.89599,66.2343,35.87127,33.03068,26.1157,okay
23.18881,70.66097,35.30346,33.06266,26.17173,okay
23.13856,71.36813,36.84017,33.10669,26.07743,okay
23.22179,71.6238,35.97556,33.01767,26.47687,okay
23.15304,68.72884,35.88887,32.97447,26.81274,okay
22.15535,66.32762,33.89524,33.09381,26.81631,okay
21.45063,66.46674,31.98303,32.46548,25.94941,okay
21.01987,66.4468,31.58273,32.22889,25.51671,okay
16.8927,59.27459,39.45998,38.07637,60.73099,okay
16.58379,58.79734,39.81864,38.00961,60.64631,okay
16.83589,59.84551,39.10273,38.11687,60.82685,okay
16.89622,59.11119,39.41441,37.97267,60.77567,okay
17.80103,59.32743,38.77821,38.0521,60.95277,okay
17.83703,58.98595,39.22679,37.92183,60.78965,okay
17.81723,58.63276,39.32759,37.89591,60.86239,okay
17.53453,57.38437,39.94036,37.86122,60.68514,okay
17.61775,57.59154,39.46509,37.98431,60.6186,okay
17.01797,58.91076,39.26988,38.01338,60.50559,okay
14.62397,62.17118,39.71315,38.51225,61.55536,okay
25.6667,81.91904,29.95313,39.16644,73.70047,okay
35.00832,106.00806,39.93443,37.93536,106.81479,okay
36.32892,101.93045,38.20436,37.10242,110.48246,okay
37.19364,94.62103,38.63092,38.01928,110.58523,okay
42.91182,103.54564,36.54053,42.11973,107.06995,okay
41.84296,104.96866,38.13287,40.65251,106.24048,okay
42.92781,105.07202,38.6355,40.20691,107.08685,okay
43.0739,105.12064,39.37864,40.64765,105.73216,okay
42.18518,104.5957,39.32454,40.85927,105.89947,okay
22.87126,113.76922,30.56688,34.65067,146.47879,okay
21.30763,111.8801,27.58529,32.76869,145.34535,okay
21.21087,112.66721,28.54545,33.14415,145.28259,okay
21.44755,112.57774,31.09084,33.03516,145.435,okay
21.38458,112.77509,32.05526,33.00061,145.12082,okay
21.33004,112.81062,31.8972,32.92945,145.08976,okay
21.40549,112.80325,32.04523,32.87491,145.22743,okay
21.24356,112.44736,32.32574,32.82283,145.29207,okay
21.04705,112.34368,32.3109,32.76024,145.20115,okay
20.85251,112.40805,32.13033,32.70187,145.06654,okay
38.3406,99.39116,39.5869,43.51403,129.71506,okay
38.40766,97.88016,40.13523,43.54887,129.83067,okay
38.10835,98.15152,40.37489,43.66672,129.8517,okay
38.07401,99.06262,40.22663,43.5782,129.60781,okay
38.00163,100.04022,39.05705,43.23485,129.50316,okay
